color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;LeCuaK!;Steam;76561198084746897;4284;Fennec;169;204;0;0;1;2;6;3;1;0;447;54.52;1272;985;287;14;29;347;237;110;3;10;23.37;29.54;204;443;64;1741;273262;55.26;32.85;64.65;38.43;48.33;28.73;78.05;46.39;82.1;48.8;8.08;4.8;3.67;0.1;35;47.9;107.4;2298;2095;2466;93.42;55.53;74.82;44.47;119.2;70.86;49.03;29.14;89.44;53.17;44.66;26.55;34.13;20.29;0;0
blue;;keysar;Steam;76561198301618980;4284;Fennec;169;132;0;0;1;1;6;3;2;0;442;46.81;1080;795;285;9;24;126;68;58;1;5;24.2;9.06;207;107;31;1594;250642;70.09;41.58;74.56;44.23;23.91;14.18;91.48;54.27;66.05;39.18;11.04;6.55;1.9;0.13;15;107.2;47.7;2200;2000;2135;113.59;67.39;54.97;32.61;126.64;75.13;41.93;24.87;110.13;65.34;30.97;18.37;27.46;16.29;1;0
orange;;StuckAtHome420;Epic;f5dd7eab239b49ac9065e93c17e04309;23;Octane;169;579;1;2;3;2;3;0;0;50;313;54.36;852;565;287;8;25;218;100;118;2;10;9.07;27.16;27;247;101;1586;244902;77.62;46.76;59.37;35.77;29.01;17.48;89.83;54.11;68.37;41.19;7.8;4.7;2.23;0.11;20;86.5;68.1;2839;2366;3414;142.4;85.78;23.6;14.22;95.12;57.3;70.88;42.7;72.59;43.73;44.91;27.05;48.5;29.22;0;1
orange;;italic;Steam;76561198021360335;23;Octane;169;276;2;0;0;4;3;0;0;50;381;50.95;957;769;188;9;16;172;100;72;1;6;30.86;11.16;106;87;0;1624;255634;64.46;38.13;76.61;45.31;28;16.56;82.42;48.75;74.63;44.14;12.01;7.1;2.27;0.15;15;71.6;86.8;2751;2497;2930;129;76.3;40.06;23.7;86.92;51.41;82.14;48.59;60.49;35.78;58.1;34.36;50.48;29.86;0;0
