color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Kenzie.;Steam;76561198994751054;4284;Fennec;244;321;1;0;2;2;9;4;3;50;423;51.27;1549;1020;529;13;43;109;0;109;0;9;29.68;27.77;258;297;0;1496;332447;118.01;49.01;89.42;37.13;33.38;13.86;135.7;56.35;95.41;39.62;9.7;4.03;4.48;0.13;35;118.8;113.1;2519;2518;2589;174.43;72.43;66.39;27.57;158.73;65.92;82.08;34.08;121.48;50.44;79.85;33.16;39.49;16.4;2;1
blue;;Blizzard;Steam;76561199043793567;23;Octane;244;315;0;1;3;0;9;4;1;0;400;41.64;1636;1212;424;13;38;253;100;153;1;14;43.85;27.01;144;94;0;1561;350361;113.64;46.69;89.27;36.68;40.47;16.63;130.17;53.48;97.17;39.92;16.05;6.59;3.92;0.1;38;113.6;113.5;2458;2311;2629;175.89;72.27;67.5;27.73;168.07;69.06;75.31;30.94;128.94;52.98;71.66;29.44;42.78;17.58;0;0
orange;;T!B0;Steam;76561198275995970;23;Octane;244;515;2;1;1;4;2;1;1;50;508;48.68;1941;1705;236;19;23;404;352;52;4;5;43.59;30.53;174;223;47;1600;361440;96.44;39.5;108.02;44.25;39.68;16.25;118.5;48.54;113.01;46.29;12.64;5.18;5.59;0.08;68;104.9;127.9;2504;2452;2499;180.33;73.86;63.82;26.14;143.92;58.95;100.22;41.05;107.58;44.06;68.92;28.23;67.65;27.71;0;0
orange;;italic;Steam;76561198021360335;23;Octane;244;460;2;2;0;5;2;1;0;40;463;53.91;1845;1404;441;18;38;628;444;184;5;16;20.83;16.07;232;276;10;1682;369267;87.66;36.83;93.2;39.15;57.17;24.02;134.43;56.47;95.45;40.1;8.16;3.43;4.24;0.12;35;131.7;101.3;2683;2922;2466;182.58;76.7;55.45;23.3;151.86;63.8;86.17;36.2;119.78;50.32;65.62;27.57;52.63;22.11;1;2
