color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;536;726;2;1;2;12;11;5;3;16.67;470;56.15;4081;3280;801;41;69;1248;914;334;11;29;73.64;36.38;1076;644;26;1645;816446;197.98;37.18;227.89;42.79;106.66;20.03;285.17;53.55;213.75;40.14;33.61;6.31;7.37;0.14;54;223.7;291.6;2324;2100;2539;365.78;68.69;166.75;31.31;272.83;51.23;259.7;48.77;198.49;37.27;158.99;29.86;175.05;32.87;1;1
blue;;Yes I am Kranzie;Epic;6cf2748174844e5983f366a1946588ba;23;Octane;536;654;2;0;2;8;11;5;2;25;426;54.53;3618;2483;1135;30;106;871;547;324;7;30;56.95;48.38;606;546;160;1551;758115;236.51;44.92;234.87;44.61;55.17;10.48;305.26;57.97;205.23;38.98;16.06;3.05;8.17;0.12;67;293.9;214.8;2624;2512;2700;390.96;74.25;135.6;25.75;306.7;58.25;219.86;41.75;222.98;42.35;173.36;32.92;130.22;24.73;0;3
orange;;Raawaar;Epic;9446d3b553824b5685b19fd73df3c0d0;22;Breakout;536;1006;2;2;6;5;20;4;2;40;447;43.04;3752;3053;699;36;61;668;500;168;5;15;84.23;64.82;465;553;0;1575;783226;232;43.3;206.23;38.49;97.53;18.2;258.45;48.24;247.13;46.13;30.19;5.63;4.17;0.11;38;258.9;251.6;2462;2210;2719;400.03;74.66;135.74;25.34;380.84;71.08;154.92;28.92;312.89;58.4;129.85;24.24;93.02;17.36;0;0
orange;;surinam-elite;PS4;surinam-elite;23;Octane;536;995;3;2;4;6;20;4;2;50;425;47.25;3727;2729;998;30;81;1041;714;327;8;21;58.26;41.56;672;290;92;1527;755705;246.72;46.33;198.56;37.29;87.22;16.38;308.1;57.86;198.55;37.29;25.84;4.85;8.34;0.11;78;250.1;255.3;2705;2683;2737;389.8;73.2;142.7;26.8;370.6;69.6;161.9;30.4;272.08;51.1;180.71;33.94;79.7;14.97;4;1
