color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;463;1023;4;1;3;7;13;4;3;57.14;386;53.8;2932;2349;583;30;54;538;365;173;4;17;53.41;71.99;663;489;25;1518;644404;222.02;47.96;162.7;35.14;78.24;16.9;258.43;55.82;184.79;39.92;19.73;4.26;8.23;0.17;49;223;210.5;2110;1811;2440;355.27;76.74;107.69;23.26;327.93;70.83;135.03;29.17;270.98;58.53;111.71;24.13;80.28;17.34;3;0
blue;;DSinfinity;Steam;76561198080302493;23;Octane;463;535;1;3;2;2;13;4;1;50;295;51.06;2364;1490;874;18;76;418;187;231;2;21;39.8;35.27;136;321;12;1334;562687;280.68;60.76;164.33;35.57;16.92;3.66;285.64;61.84;166.4;36.02;9.88;2.14;8.72;0.19;47;207.3;228.7;2696;2484;2969;328.38;71.09;133.55;28.91;319.06;69.07;142.86;30.93;253.2;54.81;128.71;27.86;80.01;17.32;1;0
orange;;shiroy.;Steam;76561199004636629;4284;Fennec;463;671;3;0;1;10;9;5;2;30;474;44.93;3334;2427;907;28;75;977;632;345;7;34;59.88;33.77;532;398;74;1534;642354;208.94;45.75;173.93;38.08;73.82;16.16;263.88;57.78;184.34;40.37;8.46;1.85;7.83;0.14;56;214.4;225.7;2362;1990;2644;352.85;77.26;103.84;22.74;274.25;60.05;182.44;39.95;206.59;45.24;132.03;28.91;118.06;25.85;0;2
orange;;JKN ;Epic;0cb9f2bf864d4fda8af0e7e5f0982902;4284;Fennec;463;498;1;1;2;3;9;5;3;33.33;382;44.29;2905;2210;695;25;61;308;100;208;1;18;77.9;32.95;236;304;0;1451;601283;223.96;49.28;198.14;43.6;32.4;7.13;298.67;65.71;149.18;32.82;6.65;1.46;4.82;0.1;49;226.8;214.8;2552;2376;2717;348.93;76.77;105.58;23.23;272.4;59.93;182.11;40.07;191.62;42.16;157.47;34.65;105.41;23.19;0;2
