color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;359;523;1;0;3;3;14;4;3;33.33;407;50.06;2378;1800;578;24;52;434;253;181;4;15;51.03;38.78;264;427;10;1569;523312;151.42;42.5;143.93;40.39;60.97;17.11;182.05;51.09;160.38;45.01;13.88;3.9;5.9;0.15;39;185.2;165.9;2274;1926;2492;233.76;65.61;122.55;34.39;254.5;71.43;101.81;28.57;202.49;56.83;96.5;27.08;57.31;16.08;1;1
blue;;UltrAslanSpor;PS4;UltrAslanSpor;23;Octane;359;317;0;1;2;2;14;4;1;0;447;45.03;2732;2258;474;25;40;516;362;154;4;13;78.15;35.83;644;156;38;1529;491834;171.94;47.84;122.17;33.99;65.28;18.16;216.55;60.25;131.96;36.72;10.89;3.03;3.99;0.13;31;173.1;178.6;2813;2398;3086;218.23;60.72;141.17;39.28;247.72;68.93;111.67;31.07;204.15;56.8;86.09;23.95;69.15;19.24;1;0
orange;;karooo120;Steam;76561198189187042;23;Octane;359;696;2;1;3;5;5;1;1;40;391;49.55;2252;1713;539;22;43;809;524;285;6;25;34.45;32.68;234;488;77;1495;501646;162.47;45.36;151.46;42.29;44.24;12.35;175.88;49.11;166.29;46.43;15.99;4.46;4.09;0.19;21;137.4;201.5;2527;2443;2672;265.42;74.11;92.74;25.89;169.61;47.36;188.55;52.64;115.27;32.18;116.74;32.59;126.16;35.22;1;1
orange;;Senseless105;Steam;76561198211846800;4284;Fennec;359;466;2;0;0;9;5;1;0;22.22;458;47.51;2613;1883;730;22;57;924;517;407;6;29;34.62;32.69;212;325;89;1478;493538;172.33;48.36;147.91;41.51;36.12;10.14;208.62;58.54;134.61;37.77;13.14;3.69;12.32;0.16;77;202.8;136.1;2641;2504;2844;299.33;84;57.03;16;193.36;54.26;163.01;45.74;137.57;38.6;116.11;32.58;102.69;28.82;0;1
