color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;4284;Fennec;345;512;2;0;1;4;11;6;3;50;427;48.77;2308;1757;551;20;42;546;367;179;4;15;43.42;32.01;309;221;4;1583;486988;148.74;43.18;140.44;40.77;55.25;16.04;164.86;47.86;164.29;47.7;15.29;4.44;4.17;0.11;37;161.4;147.7;2543;2219;2860;237.15;68.85;107.29;31.15;224.93;65.3;119.51;34.7;169.58;49.23;105.83;30.73;69.03;20.04;0;0
blue;;Riyadh.;Steam;76561198337895506;23;Octane;345;489;1;1;2;7;11;6;3;14.29;479;40.2;2572;1878;694;20;59;589;387;202;4;20;85.57;23.12;321;117;0;1602;494591;141.83;41.44;138.22;40.38;62.22;18.18;167.43;48.92;158.99;46.45;15.85;4.63;6.44;0.08;76;148.4;164;2469;2082;2727;221.5;64.71;120.77;35.29;219.02;63.99;123.24;36.01;161.4;47.16;105.36;30.78;75.5;22.06;0;0
orange;;Zed;Steam;76561198331172958;4284;Fennec;345;904;3;2;3;4;11;3;3;75;501;48.32;2849;2382;467;27;45;495;364;131;5;13;62.74;35.29;525;338;135;1648;511897;139.91;40.62;134.34;39.01;70.15;20.37;178.94;51.96;153.41;44.54;12.05;3.5;6.41;0.11;57;159.7;151.5;2501;2534;2342;265.91;77.21;78.5;22.79;221.12;64.2;123.29;35.8;158.29;45.96;104.69;30.4;81.43;23.64;0;0
orange;;brootal;Steam;76561198977433647;23;Octane;345;899;3;3;3;7;11;3;0;42.86;432;50.59;2445;2033;412;24;38;211;54;157;1;14;18.48;61.63;370;376;45;1650;509501;135.92;39.67;127.08;37.09;79.61;23.24;195.56;57.08;134.36;39.22;12.69;3.7;6.24;0.17;36;149.9;159.9;2755;2505;3044;257.92;75.28;84.69;24.72;200.31;58.47;142.3;41.53;140.21;40.92;123.89;36.16;78.51;22.92;0;0
