color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Supr3me . ^-^*;Steam;76561199046871114;23;Octane;210;574;2;2;2;3;2;0;0;66.67;497;51.84;1658;1269;389;17;36;424;244;180;4;16;14.8;15.17;133;379;156;1609;309616;85.27;41.11;76.29;36.78;45.85;22.11;95.6;46.09;99.19;47.82;12.62;6.08;4.37;0.11;39;88.8;105.8;1836;1620;2084;170.07;81.99;37.35;18.01;132.05;63.67;75.36;36.33;110.75;53.4;40.83;19.69;55.83;26.92;0;1
blue;;BunanaShokwave;PS4;BunanaShokwave;4284;Fennec;210;368;2;1;0;2;2;0;0;100;345;42.25;1102;711;391;8;35;210;100;110;1;10;31.81;14.26;130;101;0;1506;293871;107.17;50.91;79.9;37.95;23.45;11.14;148.35;70.47;54.8;26.03;7.37;3.5;3.73;0.09;43;108.6;88.7;2806;2730;2792;162.02;76.97;48.49;23.03;143.22;68.03;67.29;31.97;105.39;50.06;78;37.05;27.12;12.88;1;0
orange;;italic;Steam;76561198021360335;23;Octane;210;166;0;0;0;1;5;4;1;0;434;54.4;1554;1325;229;15;22;298;200;98;2;9;21.4;19.16;293;113;0;1607;315349;86.7;41.18;85.31;40.52;38.54;18.3;110.48;52.47;86.2;40.94;13.87;6.59;1.3;0.14;9;100.5;97.3;2393;2109;2335;134.48;63.87;76.06;36.13;106.94;50.79;103.6;49.21;76.96;36.55;68.52;32.54;65.06;30.9;0;0
orange;;nognog;Steam;76561198213228563;23;Octane;210;126;0;0;0;1;5;4;3;0;491;48.2;1642;1298;344;15;31;423;303;120;4;10;24.9;11.96;324;210;96;1594;307199;80.67;38.89;93.79;45.21;32.98;15.9;109.66;52.86;82.09;39.57;15.69;7.56;4;0.13;31;96.9;96.9;3002;2168;3693;115.46;55.66;91.98;44.34;107.21;51.68;100.24;48.32;78.95;38.06;51.13;24.65;77.37;37.3;1;1
