color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Tom1Kos_;Epic;92ca3ae1b7d9428292377ace2c88292a;23;Octane;466;733;4;0;2;6;14;5;3;66.67;374;47.04;2714;1914;800;25;72;185;3;182;1;17;66.44;30.96;384;405;14;1542;648378;198.9;43.28;206.29;44.89;54.36;11.83;289.3;62.95;158.82;34.56;11.43;2.49;9.99;0.12;81;245.4;200.6;2699;2632;2769;351.57;76.5;107.98;23.5;337.91;73.53;121.64;26.47;248.7;54.12;149.25;32.48;61.6;13.4;0;2
blue;;Tom1111K;Epic;bde224ef7a4e4d108c26cb9d23f6685f;23;Octane;466;726;0;2;5;6;14;5;2;0;408;46.34;3322;2650;672;30;58;424;295;129;3;12;58.25;48.3;416;352;6;1552;643685;204.4;45.09;181.86;40.12;67.08;14.8;238.28;52.56;195.81;43.19;19.24;4.24;8.52;0.11;79;207.9;232.5;2287;1918;2622;354.68;78.24;98.65;21.76;314.03;69.27;139.31;30.73;236.73;52.22;136.7;30.15;79.9;17.63;1;2
orange;;Ilnonnopiubuono;Epic;b571502f939148299f01bffe02fb4ac9;23;Octane;466;1067;4;1;5;9;12;4;4;44.44;414;51.29;3066;2273;793;27;71;382;243;139;3;13;65.95;50.61;492;446;57;1586;678599;193.45;41.55;205.58;44.15;66.59;14.3;292.2;62.75;154.04;33.08;19.39;4.16;10.65;0.14;77;271.8;161.6;2564;2420;2730;373.26;80.16;92.37;19.84;306.86;65.9;158.77;34.1;231.83;49.79;137.51;29.53;96.29;20.68;0;0
orange;;italic;Steam;76561198021360335;23;Octane;466;590;1;1;2;5;12;4;0;20;450;55.65;3752;3003;749;36;67;930;619;311;8;28;49.77;54.13;670;252;16;1638;694420;189.52;41.02;180.44;39.06;92.01;19.92;263.26;56.99;182.19;39.44;16.53;3.58;7.91;0.15;52;158;271.7;2380;2156;2596;316.55;68.52;145.42;31.48;258.55;55.97;203.43;44.03;180.3;39.03;156.16;33.8;125.51;27.17;4;1
