color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;spreatex;Steam;76561198310458814;23;Octane;366;597;1;0;4;3;12;2;1;33.33;476;46.34;2884;2315;569;26;49;371;132;239;2;20;50.76;45.87;427;291;67;1509;528570;166.49;45.5;154.3;42.17;45.12;12.33;189.13;51.69;156.39;42.74;20.39;5.57;5.61;0.13;42;178.9;174.2;2206;1900;2525;283.9;77.59;82.01;22.41;231.58;63.29;134.34;36.71;184.61;50.45;104.1;28.45;77.2;21.1;2;0
blue;;eeehmallah;Epic;f2e0c0d0bf494712ad751b17ffc48411;23;Octane;366;414;0;0;3;4;12;2;1;0;428;44.43;2734;1881;853;23;67;677;314;363;5;23;63.31;39.1;487;352;90;1484;512637;172.48;47.89;142.71;39.62;44.99;12.49;225.44;62.59;120.87;33.56;13.85;3.85;6.64;0.13;52;169;178.9;2587;2318;2934;258.7;71.83;101.47;28.17;229.82;63.81;130.35;36.19;171.11;47.51;107.96;29.97;81.1;22.52;2;2
orange;;Fanboy KG;XBox;c3199bbafc010900;23;Octane;366;697;1;0;4;8;7;1;0;12.5;447;58.93;2652;2136;516;29;42;285;145;140;3;9;23.27;63.04;518;786;155;1501;521062;178.19;49.17;129.34;35.69;54.85;15.14;207.88;57.37;129.98;35.87;24.52;6.77;9.11;0.12;74;178.5;177.2;2291;2243;2378;291.82;80.53;70.56;19.47;242.07;66.8;120.31;33.2;182.86;50.46;110.15;30.4;69.37;19.14;0;1
orange;;italic;Steam;76561198021360335;23;Octane;366;328;1;0;1;4;7;1;1;25;350;54.71;2022;1287;735;16;67;370;132;238;2;22;44.23;32.18;389;227;5;1462;499064;168.62;47.17;157.11;43.95;31.74;8.88;220.85;61.78;129.38;36.19;7.25;2.03;6.17;0.16;39;174.6;173.9;2711;2562;2821;265.53;74.28;91.95;25.72;233.08;65.2;124.39;34.8;159.28;44.56;125.78;35.19;72.42;20.26;2;3
