color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;BloodyNavy [ByN];Steam;76561198162781106;6939;;380;680;1;1;4;4;12;5;2;25;329;50.68;2155;1657;498;19;44;411;183;228;2;19;37.75;82.22;251;265;17;1543;530725;183.68;48.42;151.47;39.93;44.19;11.65;216.77;57.14;139.62;36.81;22.95;6.05;9.08;0.11;82;212.1;136.9;2810;2517;3033;294.85;77.73;84.49;22.27;246.1;64.88;133.24;35.12;184.48;48.63;112.26;29.59;82.61;21.78;0;0
blue;;DN-DON07;Epic;526d0107544e492db6a63f59a2a82ccd;23;Octane;380;374;2;0;0;5;12;5;3;40;465;46.02;2836;2309;527;27;50;684;514;170;6;15;58.72;29.03;609;410;85;1549;534407;173.29;45.71;157.58;41.56;48.26;12.73;235.18;62.03;124.88;32.94;19.08;5.03;6.33;0.11;60;138.3;213.9;2313;2163;2435;243.79;64.3;135.34;35.7;198.62;52.39;180.51;47.61;149.67;39.48;109.59;28.91;119.87;31.62;1;0
orange;;Flyinggade;Steam;76561198272610962;23;Octane;380;861;4;0;2;6;9;3;2;66.67;379;50.98;2430;1886;544;26;47;230;100;130;1;11;18.29;67.74;235;537;0;1510;516979;183.99;48.89;149.73;39.78;42.63;11.33;207.83;55.22;150.47;39.98;18.05;4.8;6.92;0.1;67;191.2;159.8;2490;2325;2687;293.29;77.93;83.07;22.07;273.8;72.75;102.55;27.25;209.91;55.77;108.34;28.79;58.11;15.44;0;1
orange;;italic;Steam;76561198021360335;23;Octane;380;665;1;3;2;6;9;3;1;16.67;395;52.54;2398;1868;530;20;49;399;300;99;3;9;55.9;43.49;223;134;9;1578;546128;168.81;44.5;142.76;37.63;67.76;17.86;184.64;48.68;180.71;47.64;13.98;3.69;5.11;0.15;35;163.4;191;2370;2022;2802;289.36;76.28;89.98;23.72;257.3;67.83;122.04;32.17;198.68;52.38;112.28;29.6;68.38;18.03;0;0
