color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;qu1Ckk-;Steam;76561198005693750;23;Octane;309;503;2;0;3;4;6;0;0;50;384;49.76;1991;1535;456;18;40;335;200;135;2;12;29.76;49.98;373;264;0;1621;477638;115.41;37.69;140.64;45.92;50.19;16.39;175.83;57.41;119.88;39.14;10.54;3.44;2.37;0.12;19;110.4;85.3;2701;2466;2796;206.86;67.55;99.39;32.45;181.33;59.21;124.92;40.79;137.05;44.75;92.62;30.24;76.58;25.01;0;1
blue;;DeathMaskX07;XBox;211cc9c2f2010900;23;Octane;309;370;1;1;0;2;6;0;0;50;298;53.73;1533;974;559;11;50;258;80;178;1;17;11.74;38.06;42;160;41;1402;416727;172.54;55.79;120.73;39.03;16.02;5.18;185.98;60.13;112.42;36.35;10.9;3.52;3.67;0.17;22;132.5;72.1;2906;3082;2734;243.01;78.57;66.28;21.43;195.19;63.11;114.1;36.89;146.57;47.39;101.33;32.76;61.4;19.85;1;0
blue;;7;Steam;76561198857598292;23;Octane;309;255;0;1;1;2;6;0;0;0;331;51.23;1688;1303;385;17;35;668;501;167;6;15;23.72;61.48;368;409;101;1519;447395;138.82;45.34;126.47;41.31;40.89;13.35;182.19;59.5;115.09;37.59;8.9;2.91;6.5;0.07;91;62.5;138;2455;2490;2322;184.51;60.26;121.67;39.74;170.75;55.77;135.43;44.23;134.69;43.99;70.51;23.03;100.99;32.98;0;1
orange;;italic;Steam;76561198021360335;4284;Fennec;309;298;0;0;2;1;8;3;2;0;392;59.57;1966;1576;390;20;35;221;94;127;1;11;17.99;24.97;245;247;5;1552;457384;133.34;43.65;124.11;40.63;48.04;15.73;170.12;55.69;125.18;40.98;10.2;3.34;3.94;0.13;30;113.9;102.5;2873;2721;3010;200.28;65.56;105.21;34.44;209.06;68.43;96.43;31.57;149.52;48.94;102.03;33.4;53.94;17.66;1;1
orange;;Synicope;XBox;4063f00900000900;23;Octane;309;254;0;0;2;1;8;3;0;0;255;44.2;1315;543;772;7;66;600;374;226;4;19;23.63;25.63;38;163;25;1385;410772;176.97;57.3;114.1;36.94;17.78;5.76;189.62;61.39;114.44;37.05;4.8;1.55;5.11;0.13;40;90.3;95.7;2582;2339;2788;211.05;68.33;97.8;31.67;185.13;59.94;123.72;40.06;148.05;47.93;80.33;26.01;80.48;26.06;0;0
orange;;Lil Mois;XBox;223a6f0c00000900;4284;Fennec;309;209;0;0;1;4;8;3;1;0;358;55.24;1803;1449;354;20;31;421;352;69;4;6;30.54;43.61;65;472;50;1417;422679;152.46;49.29;127.64;41.26;29.23;9.45;146.61;47.4;153.25;49.54;9.46;3.06;4.57;0.1;48;94.5;97.2;2910;2898;2926;192.65;62.28;116.67;37.72;192.69;62.29;116.64;37.71;137.84;44.56;95.46;30.86;76.03;24.58;1;0
