color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;434;1167;2;0;9;9;15;3;2;22.22;471;56.5;3352;2534;818;34;74;1033;806;227;10;20;34.8;42.02;465;664;188;1551;629626;181.16;42.4;165.08;38.63;81.07;18.97;219.05;51.26;190.68;44.62;17.58;4.11;6.31;0.16;39;222.1;195.7;2279;1750;2724;342.58;80.17;84.74;19.83;303.35;70.99;123.97;29.01;245.1;57.36;98.36;23.02;83.85;19.62;3;2
blue;;DSinfinity;Steam;76561198080302493;23;Octane;434;445;0;2;3;1;15;3;1;0;303;53.59;2208;1353;855;17;78;401;220;181;3;16;29.87;50.92;183;395;91;1391;561195;225.18;52.64;171.45;40.08;31.18;7.29;268.12;62.67;158.34;37.01;1.36;0.32;9.4;0.14;68;199.4;218.6;2882;2759;3003;294.78;68.9;133.03;31.1;291.5;68.14;136.31;31.86;211.6;49.46;139.43;32.59;76.78;17.95;0;1
orange;;Historicbag3655;Epic;6c795861d5f24b6185aebe1fdf953a87;2269;'99 Nissan Skyline GT-R R34;434;777;1;2;4;9;10;2;2;11.11;425;53.72;3203;2605;598;34;54;921;725;196;8;17;54.27;62.32;358;808;74;1557;636884;191.25;44.09;167.6;38.64;74.91;17.27;253.57;58.46;164.41;37.9;15.78;3.64;5.86;0.13;44;216.2;204.8;2607;2111;3209;336.07;77.48;97.69;22.52;267.79;61.74;165.97;38.26;205.83;47.45;124.83;28.78;103.1;23.77;0;0
orange;;zakandkye;PS4;zakandkye;23;Octane;434;689;2;0;3;6;10;2;0;33.33;412;42.01;2827;2092;735;23;64;625;363;262;4;23;67.61;49.79;743;207;36;1511;605875;197.44;46.5;171.16;40.31;56.03;13.2;248.95;58.63;161.86;38.12;13.82;3.25;10.39;0.1;107;205.8;210.2;2164;1984;2348;318.44;74.99;106.19;25.01;244.35;57.54;180.29;42.46;174.65;41.13;143.72;33.85;106.26;25.02;3;3
