color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Mitzomaniac;Steam;76561198025443391;23;Octane;230;611;3;0;1;7;4;1;1;42.86;511;50.73;1779;1483;296;17;30;662;552;110;6;11;25.24;24.29;231;220;47;1581;322409;100.98;44.52;84.56;37.28;41.3;18.21;132.22;58.29;91.32;40.26;3.3;1.45;3.97;0.08;48;82.1;124.3;2280;2036;2371;166.99;73.62;59.85;26.38;129.11;56.92;97.72;43.08;99.61;43.91;58.71;25.88;68.51;30.2;1;1
blue;;italic;Steam;76561198021360335;23;Octane;230;374;2;1;0;4;4;1;0;50;320;48.12;1257;905;352;11;30;324;239;85;3;7;32.56;10.87;194;138;46;1439;297738;128.63;56.08;78.88;34.39;21.86;9.53;139.91;61;85.35;37.21;4.1;1.79;3.23;0.14;23;124.4;84.9;2418;2541;2224;184.15;80.29;45.21;19.71;143.24;62.45;86.13;37.55;112.34;48.98;57.02;24.86;60;26.16;0;0
orange;;LeCuaK!;Steam;76561198084746897;4284;Fennec;230;601;1;0;5;2;11;5;3;50;440;53.9;1820;1449;371;17;35;310;228;82;3;7;15;31.62;226;260;72;1475;303439;118.97;52.05;61.66;26.98;47.93;20.97;108.35;47.41;113.83;49.8;6.38;2.79;4.53;0.13;36;108.7;101.1;2376;1897;2752;171.53;75.05;57.03;24.95;159.22;69.67;69.33;30.33;125.36;54.85;57.12;24.99;46.08;20.16;1;0
orange;;keysar;Steam;76561198301618980;4284;Fennec;230;156;0;1;0;2;11;5;2;0;360;43.19;1304;923;381;10;33;218;100;118;1;11;27.96;10.7;100;76;0;1503;303678;109.43;48.74;92.9;41.37;22.21;9.89;131.29;58.47;91.35;40.68;1.9;0.85;3;0.14;22;96.6;104.4;2533;2749;2360;166.61;74.2;57.93;25.8;152.1;67.74;72.44;32.26;106.85;47.59;71.24;31.73;46.44;20.68;0;1
