color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;4284;Fennec;284;412;1;0;2;3;13;4;1;33.33;408;53.96;1852;1487;365;20;34;356;273;83;3;7;30.76;34.26;277;481;26;1490;395290;134.44;47.33;114.99;40.48;34.63;12.19;145.42;51.19;122.4;43.09;16.24;5.72;4.5;0.12;37;121.1;142.2;2342;2268;2359;192.77;67.86;91.29;32.14;208.16;73.28;75.9;26.72;149.64;52.68;95.53;33.63;38.89;13.69;1;0
blue;;Darth.;Steam;76561198277403178;403;Dominus;284;360;0;1;2;2;13;4;3;0;315;47.41;1531;1015;516;13;50;287;187;100;2;10;25.74;28.04;260;304;12;1572;415085;127.14;44.83;118.14;41.65;38.35;13.52;158.68;55.95;116.06;40.92;8.89;3.13;5.5;0.14;39;141.7;120.9;2223;1898;2546;191.44;67.5;92.18;32.5;204.31;72.04;79.31;27.96;157.82;55.64;73.7;25.99;52.1;18.37;0;0
orange;;Yagami_A;Epic;953f732018eb4f449adf7e8c234883fa;4284;Fennec;284;599;3;0;1;7;5;1;1;42.86;363;53.05;1586;1110;476;14;41;551;353;198;5;17;33.16;22.08;109;289;146;1408;368161;162.43;57.82;97.82;34.82;20.67;7.36;175.19;62.37;101.3;36.06;4.42;1.57;2.4;0.08;31;121.2;142.2;1981;1747;2117;219.78;78.24;61.14;21.76;137.07;48.79;143.84;51.21;95.42;33.97;100.59;35.81;84.9;30.22;0;1
orange;;J.;Steam;76561198092672384;403;Dominus;284;462;1;0;3;6;5;1;0;16.67;441;49.62;2081;1543;538;18;47;446;246;200;3;17;18;35.44;286;267;53;1660;438757;104.01;36.64;124.75;43.94;55.13;19.42;168.62;59.4;107.2;37.76;8.06;2.84;5.54;0.15;37;144.4;120.9;2858;2653;2952;217.5;76.61;66.4;23.39;167.54;59.02;116.35;40.98;118.17;41.63;98.54;34.71;67.18;23.66;0;0
