color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Bunny.;Steam;76561198407488499;4284;Fennec;370;745;3;0;3;3;9;4;1;100;451;49.32;2733;2264;469;25;43;280;100;180;1;16;73.44;40.46;241;246;7;1592;531259;158.54;43.58;148.89;40.93;56.37;15.49;196.65;54.05;157.16;43.2;10;2.75;5.81;0.13;44;189.1;151.3;2465;2289;2642;266.26;73.19;97.55;26.81;254.24;69.88;109.57;30.12;189.62;52.12;111.76;30.72;62.43;17.16;1;2
blue;;italic;Steam;76561198021360335;23;Octane;370;208;0;1;1;1;9;4;3;0;404;50.36;2504;1790;714;22;64;513;361;152;4;14;50.5;30.66;375;338;38;1623;550603;147.84;39.96;158.42;42.82;63.7;17.22;205.37;55.51;153.82;41.58;10.77;2.91;6.54;0.14;47;155.3;193.1;2227;2159;2316;261.65;70.73;108.3;29.27;257.01;69.47;112.94;30.53;189.2;51.14;118.66;32.07;62.1;16.79;2;0
orange;;MeTTy_1;Epic;00a60bda2cdc419a8781a33e3a6a5911;23;Octane;370;839;4;0;2;6;4;3;1;66.67;423;51.36;2879;2253;626;27;56;378;83;295;1;27;30.59;53.24;245;477;32;1500;503216;176.82;48.19;146.29;39.87;43.8;11.94;229.86;62.65;136.45;37.19;0.6;0.16;6.78;0.14;47;180.7;169.3;2717;2644;2803;279.76;76.25;87.15;23.75;219.62;59.86;147.29;40.14;151.7;41.35;131.24;35.77;83.97;22.89;1;1
orange;;Skillamu;Steam;76561198859899955;23;Octane;370;425;0;3;0;3;4;3;2;0;436;43.42;2657;2063;594;24;53;441;244;197;3;17;37.87;33.39;439;343;55;1585;524885;155.64;42.99;147.34;40.69;59.09;16.32;190.64;52.65;159.47;44.05;11.95;3.3;4.84;0.11;44;171.9;172.5;2134;1793;2511;279.17;77.1;82.9;22.9;212.05;58.57;150.02;41.43;145.48;40.18;127.32;35.17;89.26;24.65;1;2
