color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;lala;Steam;76561198057583460;4284;Fennec;265;258;0;0;0;2;5;3;0;0;356;49.36;1681;1298;383;15;33;318;211;107;3;9;30.8;39.09;206;211;88;1458;368878;139.34;52.63;100.93;38.12;24.49;9.25;155.29;58.65;98.7;37.28;10.77;4.07;4.63;0.17;28;117.7;133.5;2132;1748;2403;168.5;63.64;96.26;36.36;141.04;53.27;123.72;46.73;95.73;36.16;92.23;34.84;76.8;29.01;0;0
blue;;selfywelfy;Steam;76561198121187303;23;Octane;265;216;0;0;2;0;5;3;3;0;425;48.38;1840;1441;399;19;35;532;362;170;4;15;27.53;23.43;209;445;37;1576;396543;108.73;41.19;115.62;43.8;39.6;15;151.02;57.21;104.57;39.62;8.37;3.17;5.43;0.18;31;133.5;117.4;2400;2180;2612;171.82;65.09;92.14;34.91;145.17;55;118.79;45;105.3;39.89;87.74;33.24;70.92;26.87;4;0
orange;;italic;Steam;76561198021360335;23;Octane;265;472;2;0;0;3;2;0;0;66.67;444;49.52;2030;1570;460;18;40;548;389;159;4;14;45.16;21.57;429;231;12;1640;410441;96.87;37.02;113.96;43.55;50.87;19.44;134.97;51.57;115.2;44.02;11.53;4.41;4.17;0.12;35;127.3;133.6;2520;2604;2391;198.81;75.97;62.89;24.03;161.92;61.87;99.78;38.13;131.55;50.27;67.03;25.61;63.11;24.12;0;1
orange;;Diego :);Steam;76561198363577539;23;Octane;265;408;1;0;2;2;2;0;0;50;325;42.31;1467;1021;446;13;38;393;285;108;3;9;40.61;23.65;82;278;14;1415;342802;139.73;54.68;91.79;35.92;24.04;9.41;133.61;52.28;112.42;43.99;9.54;3.73;7.47;0.17;44;136.9;117.5;2499;2241;2752;201.12;78.69;54.45;21.31;179.05;70.06;76.52;29.94;144.08;56.38;59.79;23.4;51.69;20.23;0;3
