color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Binz Tkachuk;XBox;036e4b0d00000900;23;Octane;302;292;0;0;2;3;6;3;1;0;411;44.02;2174;1709;465;19;40;132;0;132;0;11;61.01;41.76;165;181;0;1570;451688;122.65;40.98;135.03;45.12;41.6;13.9;152.97;51.11;117.49;39.26;28.82;9.63;4.64;0.13;36;106.5;82.4;2898;2433;3264;213.77;71.43;85.52;28.57;188.98;63.14;110.31;36.86;141.98;47.44;97.05;32.43;60.26;20.13;0;1
blue;;Th3-T4nk-280198;PS4;Th3-T4nk-280198;23;Octane;302;218;0;0;2;3;6;3;1;0;367;50.72;1743;1214;529;14;41;447;283;164;3;14;32.75;52.4;183;201;16;1462;425316;152.46;50.43;122.01;40.35;27.88;9.22;185.79;61.45;112.53;37.22;4.03;1.33;6.8;0.13;51;115.1;103.2;3015;3075;2946;205.12;67.84;97.24;32.16;183.91;60.82;118.45;39.18;140.41;46.44;105.38;34.85;56.56;18.71;1;0
blue;;1Fitty;Steam;76561198143438348;4284;Fennec;302;70;0;0;0;0;6;3;1;0;474;47.65;2181;1541;640;19;48;399;288;111;4;10;48.96;32.2;463;358;111;1506;424305;137.89;47.02;107.76;36.75;47.6;16.23;190.05;64.81;91.04;31.04;12.17;4.15;8.47;0.1;86;78.9;103.5;3131;3018;3226;186.3;63.53;106.96;36.47;187.39;63.9;105.87;36.1;129.22;44.06;96.01;32.74;68.02;23.2;2;3
orange;;Nir;Steam;76561198188183229;4284;Fennec;302;508;1;0;4;2;6;0;0;50;449;48.21;2307;1711;596;18;45;293;156;137;2;12;59.27;42.58;334;89;43;1474;425906;147.73;48.88;115.61;38.25;38.91;12.87;196.41;64.98;90.03;29.79;15.81;5.23;5.54;0.1;53;91.6;91.6;2958;3046;2847;231.05;76.44;71.2;23.56;202.3;66.93;99.95;33.07;149.25;49.38;96.12;31.8;56.89;18.82;2;0
orange;;b6h;Steam;76561199025678365;23;Octane;302;248;1;0;0;2;6;0;0;50;395;46.14;1846;1197;649;14;51;448;280;168;3;14;31.99;21.85;215;214;19;1496;426655;142.37;48.03;109.25;36.86;44.77;15.11;188.33;63.54;96.19;32.45;11.87;4;14.34;0.16;92;98.4;94.5;2730;2547;2908;236.09;79.66;60.3;20.34;193.29;65.21;103.1;34.79;149.15;50.32;89.74;30.28;57.5;19.4;1;2
orange;;italic;Steam;76561198021360335;4284;Fennec;302;230;1;0;1;2;6;0;0;50;417;54.33;2123;1487;636;18;42;147;87;60;1;6;26.29;26.48;180;289;12;1611;460285;117.22;39.22;127.06;42.51;54.59;18.27;154.43;51.67;129.41;43.3;15.03;5.03;5.2;0.14;38;107.9;103;3070;3204;2910;224.09;74.98;74.79;25.02;207.2;69.33;91.68;30.67;157.97;52.86;98.64;33;42.26;14.14;1;1
