color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;CristianTra;Epic;294a1279a1674ea48a61a841d955a227;4284;Fennec;353;597;2;1;2;7;7;2;1;28.57;311;42.74;1704;1058;646;13;56;338;124;214;2;18;46.3;49.61;278;256;75;1470;479883;189.72;54.24;113.88;32.55;46.21;13.21;209.95;60.02;115.18;32.93;24.68;7.06;2.8;0.15;19;191.9;139.8;2538;2554;2471;282.41;80.73;67.4;19.27;239.87;68.57;109.94;31.43;189.77;54.25;96.84;27.68;63.2;18.07;0;1
blue;;daawl;Steam;76561198988174106;4284;Fennec;353;528;1;2;2;6;7;2;1;16.67;481;52.15;2874;2096;778;25;69;552;296;256;3;24;23.27;43.78;584;405;5;1665;548911;137.35;38.91;129.96;36.82;85.64;24.26;188.92;53.53;148.07;41.95;15.95;4.52;5.61;0.14;41;142.5;191.6;2503;2129;2877;234.95;66.57;118;33.43;218.22;61.83;134.72;38.17;150.44;42.62;125.44;35.54;77.07;21.84;0;0
orange;;Rabo;Steam;76561198019800124;23;Octane;353;793;2;0;5;5;13;3;1;40;567;51.57;3177;2729;448;32;44;765;625;140;7;15;58.47;37.41;458;481;83;1643;541694;130.53;36.97;147.58;41.8;74.95;21.23;199.79;56.59;135.19;38.29;18.07;5.12;9.44;0.11;88;181.1;155.1;2483;2225;2733;262.25;74.28;90.79;25.72;210.98;59.76;142.06;40.24;164.58;46.62;104.85;29.7;83.61;23.68;0;0
orange;;italic;Steam;76561198021360335;23;Octane;353;473;0;2;3;2;13;3;2;0;393;53.24;2196;1678;518;19;49;551;444;107;5;9;47.37;37.72;312;133;21;1564;517254;154.59;43.8;141.35;40.04;57.04;16.16;181.53;51.43;147.7;41.84;23.75;6.73;3.5;0.13;28;154.9;176.8;2431;2326;2597;249.62;70.72;103.36;29.28;218.53;61.91;134.45;38.09;154.54;43.78;110.46;31.29;87.97;24.92;1;0
