color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;losing casual mmr;Steam;76561198194584386;23;Octane;379;901;5;0;3;7;8;3;1;71.43;345;57.02;2041;1607;434;20;41;423;231;192;3;17;25.41;81.7;127;421;68;1448;498633;206.24;54.52;139.58;36.9;32.49;8.59;226.68;59.92;138.74;36.67;12.88;3.4;10.88;0.13;85;133.9;93.2;2884;2682;3149;303.66;80.27;74.65;19.73;242.33;64.06;135.97;35.94;188.68;49.87;115.69;30.58;73.94;19.54;0;0
blue;;Dmitry;Steam;76561198097396259;23;Octane;379;240;0;2;0;1;8;3;1;0;384;54.79;2483;2010;473;23;43;746;545;201;6;18;34.37;65.07;396;314;60;1638;564904;154.65;40.89;146.2;38.66;77.35;20.45;217.63;57.54;139.47;36.88;21.11;5.58;2.77;0.07;37;82.9;170.6;3383;3277;3548;223.43;59.08;154.78;40.92;203.13;53.71;175.08;46.29;148.01;39.13;112.35;29.71;117.85;31.16;0;0
blue;;9.7K HOURS;Steam;76561198126041654;22;Breakout;379;226;0;0;2;0;8;3;1;0;337;44.68;2399;1846;553;20;47;522;383;139;4;12;61.25;38.32;215;146;21;1477;497533;184.38;49.55;150.97;40.57;36.74;9.87;222.54;59.81;132.48;35.6;17.07;4.59;7.54;0.11;67;137.1;82.9;3018;3109;2886;281.51;75.66;90.58;24.34;249.58;67.08;122.51;32.92;191.2;51.38;104.67;28.13;76.23;20.49;0;2
orange;;italic;Steam;76561198021360335;23;Octane;379;632;2;1;3;5;8;5;1;40;457;52;2758;2140;618;28;54;535;330;205;4;18;49.32;33.73;562;519;69;1587;546384;161.85;42.79;149.68;39.57;66.75;17.65;203.43;53.78;154.72;40.9;20.13;5.32;4.74;0.12;40;116.1;112.1;2432;2402;2489;275.25;72.76;103.03;27.24;260.5;68.87;117.77;31.13;209.13;55.29;87.81;23.21;81.33;21.5;2;0
orange;;Mason Mount;Steam;76561198080302493;23;Octane;379;210;1;0;0;3;8;5;2;33.33;305;45.82;1784;1290;494;15;45;329;177;152;2;14;38.59;20.92;167;216;28;1418;488283;210.98;55.78;148.74;39.32;18.52;4.9;243.23;64.31;129.54;34.25;5.47;1.45;8.68;0.12;73;98.5;129.2;3034;3156;2986;247.43;65.42;130.81;34.58;257.42;68.06;120.82;31.94;199.01;52.61;109.68;29;69.55;18.39;0;0
orange;;THE superpatate;Epic;43642fd5cae64c6ca31ebbc132921ff4;4284;Fennec;379;94;0;0;0;0;8;5;2;0;330;51.61;2065;1588;477;20;28;41;0;41;0;4;41.68;76.82;145;428;0;1429;485543;199.72;52.78;156.63;41.39;22.03;5.82;237;62.64;129.43;34.21;11.95;3.16;6.04;0.16;38;136;109.2;3183;3149;3236;269.95;71.35;108.42;28.65;281.45;74.38;96.92;25.62;211.24;55.83;122.04;32.25;45.09;11.92;0;0
