color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;;Steam;76561198809487188;23;Octane;351;549;2;1;2;4;7;2;0;50;334;61.56;2048;1449;599;22;54;390;190;200;4;19;13.2;58.78;129;775;219;1484;486812;176.97;50.45;140.46;40.05;33.32;9.5;224.59;64.04;117;33.36;9.14;2.61;8.24;0.18;46;153;175.4;2614;2642;2587;253.87;72.38;96.87;27.62;238.49;68;112.25;32;182.45;52.02;96.35;27.47;71.93;20.51;0;0
blue;;italic;Steam;76561198021360335;23;Octane;351;492;1;0;3;2;7;2;2;50;429;53.04;2507;1954;553;24;50;334;175;159;2;14;49.75;37.06;342;409;33;1536;504304;160.79;45.82;136.23;38.82;53.92;15.36;180.95;51.56;154.53;44.03;15.45;4.4;6.68;0.15;45;176.8;154;2231;2207;2240;262.17;74.71;88.77;25.29;238;67.82;112.94;32.18;179.4;51.12;104.15;29.68;67.38;19.2;2;0
orange;;Phil;Steam;76561198857606322;4284;Fennec;351;350;1;1;0;3;6;3;2;33.33;389;45.12;2309;1601;708;18;61;562;299;263;3;23;45.24;45.29;264;219;15;1561;509983;160.85;46.06;139.54;39.96;48.84;13.99;191.51;54.84;133.83;38.32;23.9;6.84;4.64;0.13;37;153;186.6;2316;2128;2503;250.82;71.82;98.41;28.18;183.47;52.53;165.77;47.47;135.39;38.77;111.13;31.82;102.71;29.41;0;0
orange;;Musty;Steam;76561198419751103;4284;Fennec;351;288;1;0;1;4;6;3;1;25;453;43;2530;2056;474;25;42;697;552;145;6;13;62.82;26.42;429;355;47;1508;481758;160.82;46.75;131.98;38.37;51.19;14.88;190.03;55.24;143.71;41.78;10.25;2.98;6.08;0.14;43;185.1;144.8;2359;2307;2405;259.55;75.45;84.43;24.55;211.18;61.39;132.8;38.61;148.7;43.23;115.52;33.58;79.77;23.19;0;2
