color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;419;492;2;0;1;6;6;3;1;33.33;370;50.68;2546;1786;760;23;48;670;416;254;5;17;68.68;46.6;234;495;63;1500;598096;187.38;45.36;159.79;38.68;65.92;15.96;212;51.32;185.75;44.97;15.34;3.71;5.48;0.13;41;128.9;162;2362;2042;2593;282.77;68.45;130.32;31.55;216.19;52.33;196.9;47.67;162.68;39.38;108.26;26.21;142.15;34.41;1;2
blue;;Mason Mount;Steam;76561198080302493;23;Octane;419;184;0;0;0;2;6;3;1;0;367;47.63;2513;1914;599;23;46;317;45;272;1;16;50.06;32;109;405;58;1399;554892;222.72;53.53;163.15;39.21;30.21;7.26;246.25;59.18;156.3;37.56;13.53;3.25;8.21;0.11;76;139.8;117.8;2796;2915;2530;286.88;68.95;129.2;31.05;230.06;55.29;186.01;44.71;146.28;35.16;168.27;40.44;101.53;24.4;2;1
blue;;Sypek29;PS4;Sypek29;4284;Fennec;419;152;0;1;0;3;6;3;1;0;370;50.35;2390;1934;456;23;39;421;217;204;4;16;51.41;87.13;694;392;193;1479;584419;195.6;46.75;168.82;40.35;53.96;12.9;283.33;67.72;127.15;30.39;7.91;1.89;0;0;0;133;119.2;2755;3051;2456;292.29;69.86;126.1;30.14;239.24;57.18;179.15;42.82;175.44;41.93;137.21;32.79;105.74;25.27;1;0
orange;;baxseritm;PS4;baxseritm;23;Octane;419;584;2;0;3;1;11;2;0;200;309;37.38;2026;1348;678;15;47;420;100;320;1;20;91.51;51.6;167;153;0;1412;563420;229.99;55.28;139.73;33.58;46.36;11.14;236.88;56.93;165.39;39.75;13.81;3.32;5.04;0.19;27;114.6;141.8;2591;2399;2745;259.5;62.37;156.59;37.63;277.58;66.71;138.51;33.29;209.33;50.31;123.74;29.74;83.01;19.95;1;1
orange;;chederHQ;Epic;5ba4bff2d190429e802b541953a93e37;23;Octane;419;398;0;3;2;3;11;2;1;0;397;52.16;2555;1947;608;25;46;462;321;141;4;13;81.34;59.04;734;560;86;1604;627557;151.54;36.7;194.28;47.05;67.13;16.26;252.06;61.04;147.37;35.69;13.52;3.27;1.9;0.13;15;164.4;116;2813;2687;2899;286.61;69.41;126.34;30.59;285.13;69.05;127.82;30.95;220.89;53.49;121.24;29.36;70.81;17.15;2;2
orange;;cut the head;Epic;bb8fc4c91c2049cd94b1f97facd151a9;23;Octane;419;288;1;0;1;2;11;2;1;50;182;30.93;1167;379;788;5;62;352;100;252;1;21;119.96;12.73;147;127;0;1325;526055;255.69;61.45;133.85;32.17;26.57;6.39;277.67;66.73;131.55;31.61;6.89;1.66;4.04;0.37;11;132.3;137.4;2590;2387;2723;260.09;62.51;156.02;37.49;257.75;61.94;158.37;38.06;199.05;47.83;126.05;30.29;91.02;21.87;0;1
