color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;quadraN;Steam;76561198218716839;23;Octane;237;311;0;0;3;1;8;4;2;0;463;50.49;1874;1509;365;17;32;305;200;105;2;9;41.85;30.32;414;204;4;1639;363660;93.97;39.66;100.37;42.36;42.59;17.98;136.39;57.57;95.18;40.17;5.36;2.26;3.74;0.1;37;107.3;117.2;2648;2279;3004;141.65;59.79;95.28;40.21;173.49;73.22;63.44;26.78;131.39;55.45;72.8;30.73;32.75;13.82;1;0
blue;;Happynax;Steam;76561198202040181;403;Dominus;237;102;0;0;0;1;8;4;2;0;391;52.21;1710;1374;336;18;30;415;379;36;4;3;28.66;33.4;196;441;20;1492;330772;112.95;47.66;96.71;40.81;27.31;11.52;129.66;54.72;98.06;41.38;9.25;3.9;3.81;0.13;29;117.1;107.4;2574;2513;2567;142.7;60.22;94.27;39.78;186.15;78.55;50.82;21.45;148.2;62.54;58.07;24.51;30.7;12.96;2;0
orange;;italic;Steam;76561198021360335;23;Octane;237;437;3;0;0;4;2;0;0;75;454;52.76;1719;1247;472;14;43;633;428;205;5;19;30.03;20.84;401;145;65;1567;338258;96.38;41.74;95.09;41.18;39.45;17.08;140.96;61.04;81.9;35.47;8.06;3.49;4.35;0.15;30;127.2;101.1;2462;2328;2691;191.69;83.01;39.23;16.99;106.78;46.24;124.14;53.76;70.76;30.64;78.56;34.02;81.61;35.34;0;2
orange;;Tropicz00;Epic;d1aa43f01034414d8ce69baa9377be30;23;Octane;237;368;1;1;1;4;2;0;0;25;434;51.08;1749;1471;278;16;25;935;781;154;8;13;25.94;27.22;147;143;18;1498;325617;111.28;47.94;96.78;41.7;24.04;10.36;144.33;62.18;77.48;33.38;10.29;4.43;2.99;0.1;29;108.4;121.5;2141;2019;2127;185.93;80.11;46.17;19.89;103.07;44.41;129.03;55.59;68.81;29.65;93.08;40.1;70.21;30.25;0;1
