color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;146;304;2;0;0;2;3;3;1;100;281;58.51;866;0;866;0;19;23;0;23;0;2;19.17;18.03;26;0;0;1235;148811;95.09;65.41;41.19;28.33;9.1;6.26;75.24;51.75;62.64;43.09;7.5;5.16;2.33;0.23;10;71.3;56.2;1905;1138;2450;99.37;68.36;46;31.64;74.99;51.58;70.39;48.42;55.04;37.86;42.14;28.99;48.19;33.15;0;0
blue;;italic;Steam;76561198021360335;23;Octane;146;12;0;0;0;0;3;3;2;0;193;35.33;269;0;269;0;9;12;0;12;0;1;36.37;13.78;0;0;0;970;116383;119.13;81.99;23.71;16.32;2.46;1.69;60.27;41.48;72.87;50.15;12.16;8.37;1.77;0.22;8;63.1;71.5;3809;4204;3464;87.81;60.43;57.5;39.57;77.74;53.5;67.57;46.5;66.38;45.68;31.05;21.37;47.88;32.95;0;0
orange;;Stytch80;PS4;Stytch80;23;Octane;146;537;3;0;0;3;2;2;2;100;324;48.43;698;0;698;0;15;24;0;24;0;2;8.2;22.5;0;0;0;1139;138515;107.6;74;33.58;23.09;4.23;2.91;74.51;51.24;61.77;42.48;9.13;6.28;1.67;0.1;16;75.9;53.9;1965;2066;1869;123.25;84.76;22.16;15.24;113.99;78.39;31.43;21.61;94.83;65.22;41.28;28.39;9.3;6.4;0;0
orange;;lilian80080;PS4;lilian80080;23;Octane;146;4;0;0;0;0;2;2;0;0;341;41.21;545;0;545;0;16;12;0;12;0;1;19.63;11.6;382;0;0;1290;156073;95.68;66.71;37.11;25.88;10.63;7.41;86.28;60.16;47.9;33.4;9.24;6.44;0;0;0;49.9;75.9;2439;2526;2379;86.9;60.59;56.52;39.41;101.19;70.56;42.22;29.44;68.46;47.73;51.23;35.72;23.73;16.55;0;0
