color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Onii-Chan;Steam;76561198832362902;23;Octane;387;621;3;0;2;6;9;5;2;50;436;49.26;2761;2181;580;25;52;472;318;154;4;14;48.67;48.45;444;337;90;1619;566332;169.17;43.73;134.12;34.67;83.6;21.61;203.43;52.58;170.41;44.05;13.05;3.37;4.47;0.09;51;177.1;180.7;2359;2169;2497;273.74;70.75;113.15;29.25;247.93;64.08;138.96;35.92;178.71;46.19;120.81;31.23;87.37;22.58;0;0
blue;;Impulse93!;Steam;76561198836248983;4284;Fennec;387;400;1;1;1;7;9;5;3;14.29;402;33.44;2493;1720;773;19;66;391;162;229;2;20;59.61;26.23;271;180;38;1500;511849;182.03;48.07;145.23;38.35;51.43;13.58;222.42;58.73;145.86;38.52;10.41;2.75;6.51;0.09;75;181.9;170.2;2240;1910;2488;285.18;75.3;93.52;24.7;252.08;66.57;126.61;33.43;194.79;51.44;106.9;28.23;77;20.33;0;2
orange;;italic;Steam;76561198021360335;23;Octane;387;844;3;0;4;5;13;4;1;60;388;52.81;2270;1703;567;22;52;343;135;208;3;19;31.94;46.36;272;420;86;1581;548885;172.18;44.73;152.61;39.65;60.1;15.61;210.72;54.75;156.97;40.78;17.2;4.47;5.84;0.15;40;157;194.5;2526;2379;2731;287.39;74.67;97.51;25.33;251.01;65.21;133.89;34.79;193.77;50.34;111.11;28.87;80.01;20.79;1;0
orange;;head destroyer04;Steam;76561198075702932;23;Octane;387;783;2;0;6;4;13;4;3;50;453;49.2;3029;2158;871;25;76;356;67;289;1;25;38.66;27.31;432;350;39;1659;577323;146.75;38.12;169.64;44.07;68.54;17.81;217.51;56.51;150.34;39.06;17.07;4.43;6.78;0.08;90;193.7;156.3;2402;2419;2365;288.11;74.85;96.81;25.15;252.66;65.64;132.27;34.36;177.69;46.16;131.09;34.06;76.14;19.78;1;0
