color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;AnDoX._.;Epic;12cd52fc41b54bbb9a2063bbaf55eb2a;23;Octane;222;691;3;0;3;5;6;1;1;60;465;59.72;1640;1345;295;19;28;357;246;111;3;10;13.83;35.76;274;576;60;1576;314810;101.02;45.45;74.84;33.67;46.4;20.88;119.61;53.82;82.65;37.19;19.99;8.99;2.37;0.16;15;99.1;98.6;2206;2338;2189;177.72;79.96;44.53;20.04;130.93;58.91;91.32;41.09;89.22;40.14;76.25;34.31;56.78;25.55;1;0
blue;;reinki27;Steam;76561198250751542;403;Dominus;222;533;2;2;1;3;6;1;0;66.67;402;49.91;1459;956;503;11;37;168;0;168;0;14;36.74;33.91;263;145;0;1547;309657;97.66;43.94;94.93;42.71;29.69;13.36;127.72;57.46;89.76;40.38;4.8;2.16;2.57;0.1;27;99.2;99.5;2664;2780;2536;176.6;79.45;45.68;20.55;132.48;59.6;89.81;40.4;98.72;44.41;67.7;30.46;55.86;25.13;2;0
orange;;italic;Steam;76561198021360335;23;Octane;222;264;1;0;1;4;8;5;2;25;388;52.28;1614;1193;421;15;37;305;187;118;2;10;20.03;22.43;89;299;12;1572;305463;100.64;46.52;82.61;38.18;33.11;15.3;121.17;56;79.04;36.53;16.16;7.47;3.07;0.12;25;103.8;103.2;2503;2331;2604;146.87;67.88;69.5;32.12;148.75;68.75;67.62;31.25;126.67;58.55;50.24;23.22;39.45;18.23;0;1
orange;;Proxristos007;PS4;Proxristos007;23;Octane;222;216;0;1;1;2;8;5;3;0;398;44.03;1131;790;341;8;30;36;0;36;0;3;33.21;17.2;127;27;0;1376;263067;120.92;56.58;69.06;32.31;23.73;11.1;118.49;55.44;87.42;40.9;7.81;3.65;1.77;0.22;8;100.6;103.1;2770;2249;3085;156.58;73.27;57.13;26.73;157.33;73.62;56.39;26.38;119.97;56.13;67.73;31.69;26.02;12.17;0;2
