color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;4284;Fennec;326;705;4;1;0;6;2;1;1;66.67;484;53.47;2531;2093;438;25;42;322;183;139;2;12;46.14;27.34;268;269;21;1558;465841;136.14;42.18;129.89;40.24;56.74;17.58;162.56;50.36;141.17;43.74;19.04;5.9;3.1;0.11;28;162.2;139.8;2715;2482;3134;247.1;76.56;75.67;23.44;202.01;62.59;120.76;37.41;148.93;46.14;97.57;30.23;76.27;23.63;0;1
blue;;TTV.CJay_RL;Steam;76561198956342164;4284;Fennec;326;398;1;2;0;4;2;1;0;25;383;48.19;1994;1535;459;17;39;538;403;135;5;12;52.97;21.59;336;164;96;1535;464780;142.39;43.67;137.66;42.22;45.99;14.11;173.67;53.27;137.85;42.28;14.52;4.45;4.7;0.13;36;143.3;162.2;2354;2313;2336;238.87;73.26;87.17;26.74;187.07;57.38;138.97;42.62;128.6;39.44;107.03;32.83;90.42;27.73;0;0
orange;;Mythique_shark;Epic;9a705ad5a3cf44e7bfd4c77c42098020;23;Octane;326;336;0;1;3;0;10;5;1;0;349;51.9;1921;1354;567;17;54;243;100;143;1;15;52.47;44.14;223;369;0;1554;470953;147.72;45.28;119.09;36.5;59.46;18.22;181.66;55.68;129.73;39.76;14.89;4.56;6.37;0.12;52;126.7;175.5;2565;2416;2573;221.29;67.82;104.98;32.18;210.28;64.45;115.99;35.55;154.65;47.4;106.31;32.58;65.31;20.02;1;0
orange;;DovaGab;XBox;0c29b8ebf0010900;23;Octane;326;270;1;0;0;2;10;5;4;50;308;43.63;1774;1236;538;15;42;232;76;156;1;15;58.17;20.33;178;273;27;1497;452921;150.56;46.14;139.55;42.77;36.2;11.09;181.04;55.48;134.56;41.24;10.71;3.28;4.07;0.07;57;175.9;126.5;2707;2439;2854;244.69;74.99;81.61;25.01;236.43;72.46;89.88;27.54;170.61;52.28;111.52;34.18;44.19;13.54;0;0
