color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;82;284;2;0;0;2;0;0;0;100;505;51.83;581;489;92;7;8;172;136;36;2;3;8.97;20.3;80;214;63;1571;115794;36.89;45.02;30.28;36.95;14.78;18.04;32.84;40.07;40.1;48.93;9.02;11.01;0.53;0.11;5;22.6;25.8;1649;1458;1922;76.55;93.41;5.4;6.59;49.09;59.9;32.87;40.1;37.42;45.66;19.76;24.11;24.77;30.23;0;0
blue;;Mason Mount;Steam;76561198080302493;23;Octane;82;6;0;0;0;0;0;0;0;0;256;49.58;385;263;122;3;11;162;100;62;1;6;1.43;3.1;16;36;0;1278;94933;57.51;70.14;21.14;25.78;3.34;4.07;54.21;66.12;26.61;32.46;1.17;1.43;2.23;0.15;15;8.9;29.4;3427;3364;3072;55.74;67.99;26.24;32.01;48.55;59.21;33.44;40.79;28.68;34.98;32.34;39.44;20.97;25.58;0;0
blue;;pansulu;PS4;pansulu;23;Octane;82;2;0;0;0;0;0;0;0;0;249;37.1;371;275;96;3;8;12;0;12;0;1;16.74;15.33;60;24;0;1329;97080;45.67;56.44;28.92;35.74;6.33;7.82;53.77;66.45;27.15;33.55;0;0;0;0;0;39.9;16.1;3180;3011;3366;65.65;81.13;15.27;18.87;58.02;71.7;22.9;28.3;41.79;51.64;24.68;30.5;14.45;17.86;0;0
orange;;MrGoodlife96;PS4;MrGoodlife96;23;Octane;82;26;0;0;0;0;2;2;1;0;149;30.65;184;0;184;0;16;47;0;47;0;4;27;8.69;0;8;0;1383;102268;54.89;66.92;26.03;31.74;1.1;1.34;56.5;68.89;19.78;24.12;5.74;7;0.9;0.11;8;39.3;15;3046;3627;2680;63.9;77.91;18.12;22.09;66.78;81.42;15.24;18.58;56.25;68.58;21.27;25.93;4.5;5.49;0;0
orange;;schwimmbutz1948;PS4;schwimmbutz1948;7948;;82;8;0;0;0;0;2;2;0;0;284;55.71;366;281;85;4;8;77;52;25;1;3;12.78;14.43;0;118;47;1429;106258;42.66;52.08;34.62;42.26;4.64;5.66;48.05;58.65;29.44;35.94;4.43;5.41;0.57;0.28;2;3.3;36.3;2313;1705;2601;48.66;59.4;33.26;40.6;51.28;62.6;30.64;37.4;36.91;45.06;27.4;33.45;17.6;21.49;0;0
orange;;MesterDexter;PS4;MesterDexter;403;Dominus;82;6;0;0;0;0;2;2;1;0;415;51.87;585;490;95;6;9;130;100;30;1;3;11.91;17.93;7;116;0;1628;120796;34.2;41.71;34.49;42.07;13.3;16.22;38.15;46.53;34.98;42.66;8.86;10.81;1.17;0.1;12;28.9;20.1;2830;2473;3038;58.67;71.57;23.31;28.43;59.08;72.06;22.91;27.94;51.54;62.86;14.4;17.56;16.05;19.58;0;0
