color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;273;713;1;0;6;5;11;4;4;20;433;55.03;1846;1497;349;19;32;375;234;141;3;12;35.78;27.67;234;354;39;1579;401583;107.26;39.26;122.97;45.01;42.99;15.73;139.68;51.13;127.22;46.56;6.31;2.31;4.99;0.18;28;155.3;101.4;2170;1540;2677;214.22;78.41;58.99;21.59;193.24;70.73;79.97;29.27;147.56;54.01;83.04;30.39;42.61;15.6;1;0
blue;;DSinfinity;Steam;76561198080302493;23;Octane;273;92;0;0;0;2;11;4;0;0;300;49.84;1384;889;495;10;37;307;100;207;1;11;27.13;29.25;43;125;0;1393;353152;147.68;54.06;111.54;40.83;13.95;5.11;172;62.96;97.23;35.59;3.95;1.45;3.56;0.12;29;101.5;154.7;2866;2784;2924;177.66;65.04;95.51;34.96;166.44;60.93;106.74;39.07;113.64;41.6;106.12;38.85;53.42;19.55;0;0
orange;;Shl*;Steam;76561198872019563;23;Octane;273;682;3;0;4;6;7;1;1;50;451;57.46;2033;1742;291;20;27;119;0;119;0;10;32.71;15.52;277;257;0;1619;405741;107.94;39.97;123.33;45.67;38.77;14.36;165.66;61.34;91.74;33.97;12.65;4.68;7.11;0.08;89;139.4;117.7;2665;2697;2696;214.68;79.5;55.37;20.5;180.45;66.82;89.59;33.18;128.79;47.69;90.49;33.51;50.77;18.8;0;1
orange;;Medal.tv-Regugba;Epic;69197b94e28d4d9e8122ae507c6ae1db;4284;Fennec;273;452;1;2;2;5;7;1;0;20;380;34.2;1568;1069;499;11;43;391;186;205;2;17;60.97;22.02;164;49;13;1464;372713;130.57;47.8;119.81;43.86;22.8;8.35;167.15;61.19;101.08;37;4.94;1.81;4.63;0.14;32;116;142.3;2222;2036;2362;204.02;74.69;69.15;25.31;157.93;57.81;115.24;42.19;115.41;42.25;87.3;31.96;70.46;25.79;0;0
