color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Seikoops;Epic;c83da9b1df4b4b4f8abd680c45e5753b;23;Octane;301;375;1;0;1;2;6;3;2;50;346;56.65;1804;1453;351;19;31;300;238;62;3;6;18.82;45.61;232;462;71;1486;422978;158.61;52.71;99.29;33;43.02;14.3;192.4;63.94;99.23;32.98;9.29;3.09;7.04;0.17;41;168.8;114.9;2538;2501;2601;238.46;79.24;62.46;20.76;203.91;67.76;97.01;32.24;145.16;48.24;104.38;34.69;51.38;17.07;0;0
blue;;LianRL-YouTube;Steam;76561198119018613;4770;Dominus;301;230;0;0;1;4;6;3;1;0;348;52.34;1700;1307;393;15;35;355;200;155;2;13;38.68;23.22;144;192;0;1438;410666;153.94;51.14;114.06;37.89;32.99;10.96;146.51;48.68;139.55;46.36;14.93;4.96;5.87;0.1;61;114.7;168.7;2225;1735;2450;226.52;75.26;74.47;24.74;188.12;62.5;112.87;37.5;127.59;42.39;103.64;34.43;69.75;23.17;0;0
orange;;italic;Steam;76561198021360335;4284;Fennec;301;476;2;0;1;3;6;1;0;66.67;411;58.02;2048;1573;475;20;45;264;73;191;2;16;25.79;35.79;292;270;0;1558;443308;136.83;45.61;118.02;39.34;45.14;15.05;157.45;52.49;125.22;41.74;17.32;5.77;4.84;0.13;37;144.6;138;2439;2321;2500;227.53;75.85;72.46;24.15;191.88;63.96;108.1;36.04;141.19;47.07;108.16;36.06;50.63;16.88;0;0
orange;;KongMelchior;Epic;cd49395ed7df478b96ea97d1d8245b2c;4284;Fennec;301;357;1;0;1;3;6;1;1;33.33;392;51.86;1956;1360;596;15;55;504;321;183;4;18;28.54;19.44;288;125;48;1562;444074;131.75;44.02;128.64;42.98;38.93;13.01;188.1;62.84;97.02;32.41;14.19;4.74;8.64;0.13;64;139;145.5;2371;2020;2570;219.87;73.46;79.44;26.54;197.73;66.06;101.59;33.94;138.09;46.14;108.07;36.11;53.15;17.76;0;0
