color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Phorky;Steam;76561199072479850;22;Breakout;351;576;1;1;4;1;11;4;2;100;376;47.15;2187;1643;544;20;44;392;200;192;2;14;44.94;54.81;90;364;0;1558;513766;150.96;42.97;160.62;45.72;39.76;11.32;181.8;51.74;143.28;40.78;26.26;7.47;5.76;0.13;43;166.7;167.1;2756;2600;2942;243.46;69.29;107.88;30.71;233.48;66.45;117.86;33.55;174.11;49.56;118.81;33.82;58.42;16.63;0;0
blue;;italic;Steam;76561198021360335;23;Octane;351;410;1;1;1;2;11;4;2;50;436;61.75;2527;2047;480;29;44;309;190;119;3;12;31.22;33.14;362;502;112;1629;536702;128.33;36.52;155.32;44.2;67.76;19.28;159.47;45.38;164.32;46.76;27.62;7.86;4.46;0.11;39;166.6;168.5;2414;2251;2552;245.16;69.76;106.25;30.24;234.39;66.7;117.02;33.3;180.17;51.27;94.61;26.92;76.63;21.81;2;0
orange;;Big-J;Steam;76561198411027946;23;Octane;351;450;2;1;0;7;3;2;1;28.57;489;44.37;2701;2214;487;25;42;393;275;118;3;11;31.85;33.35;422;285;24;1719;552329;106.97;31.23;159.35;46.53;76.16;22.24;201.26;58.77;125.28;36.58;15.94;4.65;7.74;0.11;69;153.5;189.5;2948;2708;3111;242.26;70.74;100.22;29.26;208.11;60.77;134.36;39.23;145.95;42.62;116.13;33.91;80.39;23.47;0;1
orange;;stinky no doodoo;Steam;76561199066396864;23;Octane;351;392;2;0;0;4;3;2;1;50;428;54.8;2392;1885;507;24;47;229;86;143;1;13;28.14;40.67;146;534;13;1585;507661;138.96;40.56;159.56;46.57;44.1;12.87;205.55;59.99;122.6;35.78;14.47;4.22;7.7;0.12;65;184.6;146.1;2827;2771;2874;261.86;76.43;80.76;23.57;216.25;63.12;126.37;36.88;153.02;44.66;121.93;35.59;67.66;19.75;0;1
