color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;278;607;3;1;0;5;2;0;0;60;497;53.54;2273;1883;390;21;35;722;586;136;6;12;45.11;25.11;369;187;15;1662;437297;103.36;37.14;115.64;41.55;59.29;21.31;137.6;49.45;129.89;46.68;10.79;3.88;4.6;0.12;37;104.3;156.4;2296;2112;2599;203.3;73.05;74.99;26.95;132.44;47.59;145.85;52.41;92.99;33.42;90.67;32.58;94.62;34;1;0
blue;;g0Y0 desu;Steam;76561198113810095;4284;Fennec;278;321;1;0;1;4;2;0;0;25;405;51.37;1900;1510;390;20;35;336;198;138;4;13;33.24;14.6;191;490;201;1468;385710;138.15;49.66;108.19;38.89;31.87;11.46;176.55;63.46;101.34;36.42;0.33;0.12;8.83;0.15;60;156.5;104.2;2827;2744;3023;234.91;84.43;43.31;15.57;155.23;55.79;122.99;44.21;103.96;37.37;113.13;40.66;61.12;21.97;0;0
orange;;MonsieurC;Steam;76561198145517345;23;Octane;278;441;0;0;4;1;9;4;1;0;431;42.49;1906;1387;519;15;47;230;100;130;1;12;38.12;26.11;199;121;0;1525;401190;127.14;45.68;106.55;38.28;44.62;16.03;132.21;47.5;133.29;47.89;12.82;4.61;8.27;0.1;83;138.3;125.5;2419;2456;2425;189.3;68.02;89.02;31.98;205.32;73.77;73;26.23;149.76;53.81;88.8;31.91;39.76;14.29;0;0
orange;;SeeArr7;Epic;705b9264bf644e0299f5dd008b7a1107;23;Octane;278;233;0;0;2;1;9;4;3;0;315;45.77;1240;808;432;10;40;299;163;136;2;13;26.46;38.84;129;203;36;1479;383265;145.99;53.05;87.34;31.74;41.85;15.21;154.41;56.11;115.81;42.08;4.97;1.81;3;0.13;23;125.5;135.2;2594;2262;2848;177.01;64.33;98.17;35.67;193.62;70.36;81.56;29.64;139.74;50.78;89.69;32.59;45.76;16.63;0;1
