color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Madara Ustasa;Steam;76561198364543750;4284;Fennec;286;525;2;0;3;4;9;5;4;50;257;54.99;1198;869;329;10;29;57;0;57;0;5;12.01;81.19;49;145;0;1351;343524;180.51;63.77;88.33;31.21;14.21;5.02;180.19;63.66;91.2;32.22;11.66;4.12;4;0.12;33;173;93.9;2867;2791;2747;220.84;78.02;62.21;21.98;196.43;69.4;86.61;30.6;153.94;54.39;86.53;30.57;42.58;15.04;0;1
blue;;buzga (with rizz);Steam;76561198302890353;4284;Fennec;286;130;0;0;0;1;9;5;1;0;454;50.02;2019;1503;516;16;40;332;100;232;1;15;23.08;33.18;369;101;0;1490;374043;137.01;49.44;102.48;36.98;37.64;13.58;170.66;61.58;98.73;35.63;7.73;2.79;2.5;0.08;30;89.7;175.8;2628;2624;2636;187.03;67.49;90.09;32.51;172.76;62.34;104.36;37.66;120.98;43.66;99.18;35.79;56.96;20.55;1;2
orange;;italic;Steam;76561198021360335;23;Octane;286;639;4;0;1;6;5;2;1;66.67;492;54.2;2193;1776;417;22;38;815;652;163;7;14;26.04;38.72;721;340;38;1622;417177;118.89;42.02;95.55;33.77;68.48;24.2;152.68;53.97;119.63;42.29;10.6;3.75;3.87;0.12;31;120.3;137.5;2427;1843;2783;197.49;69.81;85.42;30.19;176.35;62.33;106.56;37.67;128;45.24;82.84;29.28;72.07;25.47;2;1
orange;;Leif YT;Epic;bcffe64370cb49a1a5604b425ee260b7;23;Octane;286;568;1;3;2;3;5;2;1;33.33;359;49.33;1794;1380;414;18;35;290;122;168;3;14;39.85;36.22;115;427;177;1499;389527;144.02;50.35;100.14;35.01;41.86;14.64;156.48;54.71;110.66;38.69;18.87;6.6;4.53;0.14;33;140.8;120.5;2442;2374;2563;207.16;72.43;78.86;27.57;178.43;62.38;107.59;37.62;133.37;46.63;90.36;31.59;62.28;21.78;1;0
