color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;tzann;Steam;76561198043805106;23;Octane;350;464;1;1;1;7;7;3;2;14.29;398;37.89;2264;1444;820;16;73;446;169;277;2;25;68.41;16.19;227;155;30;1488;477553;168.81;49.04;142.73;41.47;32.66;9.49;184.17;53.51;143.69;41.75;16.33;4.74;9.18;0.2;47;182.7;156.3;2530;2374;2741;242.25;70.38;101.95;29.62;220.86;64.17;123.34;35.83;160.51;46.63;116.59;33.87;67.1;19.49;3;2
blue;;italic;Steam;76561198021360335;23;Octane;350;342;1;0;1;3;7;3;1;33.33;415;52.16;2469;1855;614;26;47;762;465;297;7;19;37.29;31.7;380;633;187;1550;501459;161.87;46.64;126.32;36.4;58.88;16.96;203.93;58.76;128.54;37.03;14.61;4.21;5.83;0.14;43;166.4;180;2517;2193;2869;231.99;66.84;115.08;33.16;214.74;61.87;132.34;38.13;173.5;49.99;78.88;22.73;94.7;27.28;1;1
orange;;Katana Flailer;Steam;76561198825161240;23;Octane;350;689;2;1;4;4;10;2;2;50;409;49.83;2212;1517;695;21;54;1059;732;327;8;22;44.49;36.28;329;598;67;1489;473117;168.74;49.47;121.07;35.49;51.29;15.04;192.56;56.45;133.04;39;15.5;4.54;5.18;0.12;44;151.2;186.9;2236;1959;2442;257.38;75.46;83.72;24.54;197.11;57.79;143.99;42.21;158.29;46.41;92.16;27.02;90.65;26.58;2;3
orange;;Kawaii Killer;Steam;76561198143973362;3157;Maverick GXT;350;507;1;1;3;3;10;2;0;33.33;374;50.22;2111;1526;585;17;48;395;300;95;3;8;24.83;82.15;245;199;0;1366;443936;189.99;54.71;135.04;38.88;22.26;6.41;232.87;67.05;106.81;30.75;7.62;2.19;11.59;0.3;38;193.1;150.9;3404;3505;3379;272.85;78.57;74.44;21.43;227.87;65.61;119.42;34.39;177.31;51.06;116.08;33.42;53.9;15.52;1;1
