color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;NoSk MeTraN;XBox;72ed780100000900;23;Octane;348;597;3;0;1;8;5;2;0;37.5;410;48.67;2321;1687;634;21;54;555;295;260;4;22;37.22;43.11;544;420;104;1551;506194;147.44;42.7;135.95;39.37;61.88;17.92;215.4;62.38;118.51;34.32;11.37;3.29;5.24;0.21;25;161.8;165.7;2420;2253;2592;259.54;75.17;85.73;24.83;189.94;55.01;155.34;44.99;121.05;35.06;125.21;36.26;99.02;28.68;2;1
blue;;Sharkii :3;Steam;76561198440212734;23;Octane;348;467;0;2;2;3;5;2;2;0;517;55.42;3158;2769;389;35;35;894;681;213;10;19;32.39;92.68;1049;734;318;1693;556055;119.3;34.27;153.27;44.03;75.54;21.7;198.24;56.95;129.25;37.13;20.62;5.92;3.94;0.12;33;165.8;164.7;2186;1970;2347;254.33;73.06;93.79;26.94;184.74;53.07;163.37;46.93;134.59;38.66;114.68;32.94;98.85;28.4;3;0
orange;;KraaSy;Steam;76561198940436660;4284;Fennec;348;656;1;1;5;4;11;3;3;25;375;40.25;1957;1401;556;16;48;466;291;175;3;16;48.94;30.07;375;198;8;1469;467055;172.03;50.75;111.11;32.78;55.82;16.47;191.22;56.41;127.18;37.52;20.57;6.07;5.07;0.12;43;178.1;159.6;2109;1788;2440;258.77;76.34;80.19;23.66;244.38;72.1;94.58;27.9;187.35;55.27;94.22;27.8;57.4;16.93;0;3
orange;;italic;Steam;76561198021360335;4284;Fennec;348;486;1;0;3;1;11;3;0;100;328;48.4;1950;1330;620;16;54;234;78;156;1;13;40.57;34.31;243;270;21;1581;511421;152.45;44.55;138.73;40.54;51.03;14.91;208.55;60.94;125.55;36.69;8.11;2.37;7.1;0.13;56;162.4;175.1;2718;2627;2786;239.51;69.99;102.7;30.01;247.78;72.41;94.43;27.59;179.85;52.56;112.58;32.9;49.78;14.55;1;2
