color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Karablast;Steam;76561198817856137;3157;Maverick GXT;277;312;0;0;2;2;7;5;0;0;381;41.04;1657;1163;494;14;44;265;141;124;2;11;33.43;41.4;278;236;58;1501;386195;135.15;48.84;113.95;41.18;27.62;9.98;170.12;61.48;97.42;35.21;9.17;3.31;3.7;0.18;21;133;123.5;2553;2355;2550;204.54;73.92;72.18;26.08;167.87;60.66;108.85;39.34;121;43.73;94.86;34.28;60.86;21.99;0;0
blue;;italic;Steam;76561198021360335;23;Octane;277;86;0;0;0;1;7;5;5;0;527;53.46;2416;2020;396;22;37;351;273;78;3;9;37.48;17.95;529;139;31;1673;431204;97.84;35.28;111.55;40.22;67.96;24.5;152.99;55.16;113.16;40.8;11.2;4.04;2.8;0.11;25;123.9;133;2537;2831;2304;192.25;69.32;85.1;30.68;181.25;65.35;96.1;34.65;129.8;46.8;97.11;35.01;50.44;18.19;1;0
orange;;Jujusooo_;Epic;a7d1931002e64d14a54183ac0a390375;23;Octane;277;624;3;0;1;3;3;0;0;100;444;44.5;2142;1612;530;18;47;522;388;134;5;12;44.31;21.9;232;204;111;1505;388093;130.5;47.06;113.97;41.1;32.81;11.83;147.85;53.32;110.83;39.97;18.61;6.71;4.8;0.11;42;129.1;130.4;2281;2317;2130;208.94;75.35;68.34;24.65;177.75;64.1;99.53;35.9;137.84;49.71;77.85;28.08;61.6;22.22;0;0
orange;;Telarox ...;Steam;76561198034135228;4770;Dominus;277;522;2;2;1;4;3;0;0;50;374;44.82;1632;1246;386;15;34;87;0;87;0;8;35.84;19.98;132;167;0;1481;377131;136.6;49.83;116.98;42.67;20.56;7.5;173.14;63.16;91.29;33.3;9.71;3.54;5.57;0.16;34;130.7;126.2;2611;2570;2608;201.38;73.46;72.76;26.54;185.24;67.57;88.9;32.43;132.88;48.47;94.19;34.36;47.07;17.17;0;1
