color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Elden Looooord;Steam;76561198800957651;4284;Fennec;336;728;3;0;3;3;6;2;1;100;407;52.18;2475;1843;632;25;57;377;233;144;3;12;24.97;58.87;202;681;66;1647;502670;135.28;40.33;134.88;40.21;65.31;19.47;173.56;51.74;137.74;41.06;24.17;7.2;2.67;0.13;21;165;146.3;2674;2512;2808;254.95;76;80.52;24;232.58;69.33;102.88;30.67;174.19;51.92;116.34;34.68;44.94;13.4;1;0
blue;;Aleksendr_;Epic;67d595d563a743d8b019aaece9edfcf0;4284;Fennec;336;554;3;1;1;4;6;2;1;75;443;50.59;2453;1925;528;25;45;395;288;107;4;9;34.17;41.38;502;580;112;1630;493182;129.95;39.08;143.25;43.08;59.31;17.84;209.8;63.1;114.23;34.35;8.48;2.55;5.46;0.13;41;145;161.9;2955;2883;3013;233.3;70.16;99.21;29.84;225.37;67.78;107.14;32.22;164.76;49.55;110.21;33.14;57.54;17.3;0;1
orange;;eagleboy;Steam;76561198064343427;23;Octane;336;494;2;0;2;4;7;6;3;50;489;49.71;2609;2003;606;24;55;776;571;205;6;18;39.95;38.91;400;430;40;1626;488965;133.16;40.3;144.33;43.68;52.91;16.01;195.5;59.17;114.1;34.53;20.79;6.29;6.98;0.13;52;161.8;148.1;2570;2394;2723;247.91;75.04;82.48;24.96;192.85;58.37;137.54;41.63;139.18;42.12;114.71;34.72;76.51;23.16;0;0
orange;;italic;Steam;76561198021360335;23;Octane;336;216;0;2;0;2;7;6;3;0;401;55.15;2160;1663;497;18;44;441;287;154;3;14;34.71;25.68;321;59;0;1580;478382;143.38;43.13;136.7;41.13;52.32;15.74;168.73;50.76;153.25;46.1;10.43;3.14;3.72;0.13;28;154.1;159.5;2885;2475;3291;232.84;70.05;99.57;29.95;209.84;63.13;122.57;36.87;128.49;38.66;141.63;42.61;62.28;18.74;1;1
