color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;23;Octane;326;439;1;0;2;3;4;0;0;33.33;428;60.24;2228;1678;550;23;46;484;273;211;4;18;51.92;33.39;416;446;131;1650;512335;121.45;37.63;137.96;42.75;63.32;19.62;176.43;54.67;138.9;43.04;7.4;2.29;4.57;0.11;42;110.2;117.9;2847;2831;2809;228.63;70.84;94.1;29.16;191.31;59.28;131.43;40.72;137.56;42.62;98.68;30.58;86.49;26.8;2;1
blue;;zLegendKiller123;PS4;zLegendKiller123;23;Octane;326;368;1;0;1;3;4;0;0;33.33;356;58.75;1931;1451;480;18;46;470;335;135;4;13;14.68;60.94;210;387;72;1526;479585;149.05;45.75;136.47;41.89;40.29;12.37;187.32;57.49;121.55;37.31;16.94;5.2;4.47;0.15;29;117.6;96.2;2933;2944;2901;245.97;75.49;79.84;24.51;192.22;59;133.59;41;153.71;47.18;80.85;24.82;91.25;28.01;0;0
blue;;SqNo_;Steam;76561197962852755;23;Octane;326;294;0;1;1;4;4;0;0;0;423;55.14;2434;1676;758;19;66;730;552;178;6;16;19.96;20.68;151;232;57;1531;471989;140.1;43.82;140;43.79;39.64;12.4;186.9;58.46;123.86;38.74;8.97;2.81;9.85;0.07;133;93.7;104.2;2908;2981;2899;239.95;75.05;79.78;24.95;194.79;60.92;124.94;39.08;151.07;47.25;92.16;28.82;76.5;23.93;2;2
orange;;Nitram115;Steam;76561198211935676;3157;Maverick GXT;326;323;0;0;3;2;10;2;1;0;271;56.8;1562;838;724;12;58;135;0;135;0;13;17.56;50.98;182;398;11;1372;417702;186.47;58.89;109.56;34.6;20.61;6.51;234.8;74.15;71.54;22.59;10.3;3.25;8.5;0.14;59;124;82.3;3377;3587;3148;232.71;73.49;83.94;26.51;243.57;76.92;73.07;23.08;197.17;62.27;82.9;26.18;36.57;11.55;0;3
orange;;vitality-antho23;PS4;vitality-antho23;23;Octane;326;319;0;0;2;0;10;2;0;0;278;54.78;1537;1134;403;16;38;345;228;117;3;10;33.2;52.36;81;399;71;1428;446928;177.96;54.62;128.89;39.56;18.96;5.82;205.76;63.16;105.34;32.33;14.7;4.51;3.94;0.1;40;88.3;110.5;3238;3166;3263;226.09;69.39;99.72;30.61;216.54;66.46;109.27;33.54;170.94;52.47;93.12;28.58;61.75;18.95;1;0
orange;;ZebsRL;PS4;ZebsRL;30;Merc;326;228;0;0;1;2;10;2;1;0;266;55.45;1459;873;586;12;51;216;99;117;1;10;7.94;33.51;76;344;0;1382;425502;187.59;58.58;115.2;35.97;17.44;5.45;200.66;62.66;112.28;35.06;7.3;2.28;2.54;0.13;19;109.2;122.8;3055;2929;3095;213.91;66.8;106.32;33.2;223.82;69.89;96.42;30.11;167.08;52.17;102.01;31.85;51.15;15.97;2;1
