color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;italic;Steam;76561198021360335;4284;Fennec;383;587;1;0;3;5;18;8;5;20;366;44.65;2354;1763;591;22;52;356;232;124;3;11;78.13;32.55;345;336;67;1495;510780;183.06;47.86;140.25;36.67;59.17;15.47;192.91;50.44;172.11;45;17.46;4.56;4.54;0.12;38;271.6;282.1;2208;1870;2445;268.18;70.12;114.3;29.88;288.7;75.48;93.79;24.52;237.74;62.16;86.96;22.74;57.78;15.11;2;0
blue;;LBLF Naikuu;Epic;0df2a614cfed4148af60404bfd4c8d12;23;Octane;383;330;0;0;4;0;18;8;2;0;309;49.87;1012;876;136;10;12;232;196;36;2;3;9.77;53.95;108;131;3;1358;200489;192.43;57.84;93.98;28.25;46.29;13.91;180.81;54.35;143.05;43;8.84;2.66;1.67;0.11;15;228.4;100;3251;2807;3900;211.36;63.53;121.34;36.47;311.07;93.5;21.63;6.5;283.47;85.2;40.2;12.08;9.03;2.71;0;2
orange;;ItsCops.;Epic;86ecbfc5210349abbf02050fc9ff096e;23;Octane;383;954;4;2;2;11;5;1;0;36.36;425;50.13;2553;1961;592;27;53;610;298;312;4;28;32.67;58.82;300;741;83;1549;534119;171.71;45.22;158.75;41.8;49.29;12.98;233.27;61.43;125.08;32.94;21.4;5.64;7.08;0.1;73;191.1;182.8;2466;2379;2660;326.01;85.85;53.74;14.15;206.27;54.32;173.48;45.68;141.12;37.16;135.02;35.55;103.62;27.29;1;1
orange;;Zorpa;Steam;76561198341674674;4284;Fennec;383;795;4;2;0;7;5;1;1;57.14;369;49.98;2259;1681;578;19;51;579;292;287;4;24;20.79;42.91;349;228;110;1476;474200;192.87;51.02;150.61;39.84;34.55;9.14;239.67;63.4;116.36;30.78;22.01;5.82;5.17;0.11;46;171.7;189.5;2387;2243;2573;290.5;76.84;87.54;23.16;194.05;51.33;183.99;48.67;141.89;37.53;110;29.1;126.15;33.37;1;1
