color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;De-AL;Steam;76561198125935820;1883;Imperator DT5;335;835;4;1;1;5;6;2;2;80;471;49.37;2350;1978;372;22;35;672;539;133;6;12;35.83;62.13;219;233;61;1518;464418;159.25;48.04;132.89;40.09;39.35;11.87;163.84;49.43;139.29;42.02;28.35;8.55;3.37;0.12;27;141.5;170;2297;1855;2893;246.52;74.37;84.97;25.63;188.92;56.99;142.56;43.01;139.59;42.11;100.42;30.29;91.47;27.59;0;1
blue;;surinam-elite;PS4;surinam-elite;23;Octane;335;388;1;0;2;4;6;2;0;25;334;47.08;1965;1537;428;16;38;542;454;88;5;8;48.85;48.27;165;71;45;1436;438711;177.12;53.39;115.36;34.77;39.27;11.84;179.43;54.09;146.42;44.14;5.9;1.78;4.04;0.11;37;169.4;137.1;3033;3051;3008;248.41;74.88;83.34;25.12;192.8;58.12;138.95;41.88;134.25;40.47;111.09;33.49;86.41;26.05;2;1
orange;;italic;Steam;76561198021360335;23;Octane;335;472;2;0;1;2;9;5;2;100;434;55.84;2449;1939;510;26;46;743;591;152;8;14;46.46;27.23;321;373;29;1578;477503;142.31;43.23;131.68;40;55.2;16.77;173.31;52.65;139.36;42.34;16.51;5.02;2.4;0.11;22;131.2;174.1;2225;2026;2366;205.98;62.57;123.2;37.43;206.52;62.74;122.66;37.26;158.15;48.04;96.82;29.41;74.21;22.54;2;1
orange;;Askin;Steam;76561199052795897;23;Octane;335;403;0;2;2;4;9;5;3;0;305;43.67;1685;1148;537;14;48;300;100;200;1;17;34.09;17.36;143;251;0;1418;427639;180.18;54.63;128.22;38.88;21.41;6.49;210.58;63.85;104.54;31.7;14.7;4.46;5;0.12;43;183.6;132.5;2371;2488;2278;239.14;72.51;90.67;27.49;232.74;70.57;97.08;29.43;180.89;54.85;101.9;30.9;47.02;14.26;0;1
