color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;BamboszczurLe[ny;Epic;29a0b26b8d4f4ec794a5dfd46b5a3a4c;403;Dominus;284;952;5;0;4;6;9;1;1;83.33;419;48.02;1779;1502;277;20;23;326;243;83;4;7;31.73;44.38;146;484;156;1570;405882;116.38;41.38;117.33;41.72;47.52;16.9;148.66;52.86;113.03;40.19;19.53;6.94;5.37;0.12;45;114.1;145.7;2537;2521;2559;204.08;72.57;77.15;27.43;189.95;67.54;91.28;32.46;142.11;50.53;81.4;28.94;57.72;20.52;0;1
blue;;wittula;Steam;76561198851666813;23;Octane;284;447;0;3;2;3;9;1;0;0;303;54.84;1545;1184;361;14;33;157;87;70;1;6;15.48;63.48;115;221;12;1491;388384;141.32;49.73;113.32;39.87;29.55;10.4;176.66;62.16;107.47;37.81;0.07;0.02;5.8;0.15;40;146.8;117.1;2918;3259;2658;217.47;76.52;66.73;23.48;206.23;72.57;77.97;27.43;152.02;53.49;93.33;32.84;38.84;13.67;0;0
orange;;italic;Steam;76561198021360335;23;Octane;284;365;0;1;3;5;9;5;3;0;395;56.4;1849;1414;435;18;40;424;297;127;4;11;50.39;31.99;415;326;55;1558;408605;125.93;44.31;109.39;38.49;48.91;17.21;163.09;57.38;115.44;40.61;5.7;2.01;4.83;0.12;39;148;114.8;2508;2417;2640;198.55;69.86;85.68;30.14;173.1;60.9;111.13;39.1;122.94;43.25;86.75;30.52;74.54;26.23;1;0
orange;;Stxnezy;Epic;3cad7b66fdfd4dd8afe21ec0997196a7;23;Octane;284;256;1;0;0;4;9;5;2;25;365;49.74;1816;1219;597;16;47;666;345;321;4;22;34.67;38.76;105;399;63;1457;375666;148.58;52.28;91.32;32.13;44.29;15.58;139.14;48.96;143.42;50.47;1.63;0.57;10.08;0.16;64;111.9;148.1;2770;2156;3246;189.14;66.55;95.05;33.45;159.49;56.12;124.7;43.88;119.17;41.93;75.32;26.5;89.7;31.56;0;0
