color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;ApparentlyAzbaz;Epic;9d1e929ba55f4f119dd98dac4cfb6383;23;Octane;283;457;1;0;2;5;8;4;4;20;461;48.66;2014;1485;529;18;47;487;256;231;3;21;34.41;33.13;337;323;44;1632;416982;104.53;37.41;120.76;43.22;54.09;19.36;159.01;56.92;104.31;37.34;16.06;5.75;4.5;0.08;58;140.7;143.8;2293;2012;2397;195.41;69.94;83.97;30.06;180.45;64.59;98.94;35.41;144.93;51.87;72.83;26.07;61.63;22.06;3;1
blue;;ERZIRL;Epic;61fa1be63d444586aae323f5404ac37f;23;Octane;283;160;0;1;0;1;8;4;0;0;451;50.89;1940;1358;582;18;46;608;363;245;4;14;31.99;39.3;172;449;36;1531;386774;130.23;46.42;104.77;37.35;45.53;16.23;156.13;55.65;108.62;38.72;15.8;5.63;5.36;0.09;60;140;136.9;2476;2174;2549;180.91;64.49;99.63;35.51;178.15;63.5;102.39;36.5;142.06;50.64;78.59;28.01;59.89;21.35;0;1
orange;;italic;Steam;76561198021360335;23;Octane;283;643;3;1;0;5;6;1;0;60;385;56.68;1902;1478;424;20;40;300;187;113;2;12;31.46;37.36;305;420;25;1506;392375;142.49;50.44;93.43;33.07;46.56;16.48;155.13;54.92;115.26;40.8;12.09;4.28;3.38;0.12;29;131.6;148.1;2231;2160;2012;220.97;78.23;61.51;21.77;173.24;61.33;109.24;38.67;133.44;47.24;76.49;27.08;72.55;25.68;2;0
orange;;a r si;Steam;76561198391701224;23;Octane;283;493;1;1;3;3;6;1;1;33.33;380;45.31;1695;1192;503;14;42;567;449;118;5;10;23.64;32.31;122;207;50;1424;350465;151.18;55.73;87.36;32.2;32.75;12.07;162.78;60;98.76;36.4;9.75;3.59;7.09;0.15;47;146.1;128.3;2162;2314;1902;212.54;78.34;58.75;21.66;160.68;59.23;110.61;40.77;123.01;45.34;79.59;29.34;68.69;25.32;0;3
