color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Jougthon;Steam;76561198377328957;4284;Fennec;550;710;1;0;4;3;10;3;2;33.33;377;48.17;3493;2597;896;31;75;900;590;310;6;25;59.11;38.94;581;457;9;1569;820702;235.89;43.1;217.4;39.72;94.02;17.18;304.24;55.59;219.99;40.19;23.08;4.22;14.19;0.1;136;313;218.8;2462;2242;2673;425.9;77.82;121.41;22.18;356.42;65.12;190.89;34.88;264.94;48.41;172.93;31.6;109.43;19.99;1;1
blue;;Daffodil;Steam;76561198927941085;23;Octane;550;664;1;1;2;7;10;3;1;14.29;377;49.22;3337;2332;1005;31;88;920;633;287;8;25;31.27;33.37;512;778;150;1548;805830;243.46;44.76;214.94;39.51;85.55;15.73;307.33;56.5;203.17;37.35;33.45;6.15;9.11;0.12;76;221.8;307;2074;2139;2002;400.15;73.56;143.81;26.44;334.66;61.52;209.3;38.48;240.78;44.27;180.93;33.26;122.24;22.47;1;2
orange;;zehircimm.tw;Epic;02341ce352e7415f84c39eac2b0f2d4c;4770;Dominus;550;848;2;1;3;4;10;2;2;50;412;49.82;3584;2466;1118;30;99;945;554;391;8;35;28.07;61.52;549;559;249;1487;772237;247.83;45.68;239.26;44.1;55.47;10.22;318.7;58.74;205.65;37.9;18.21;3.36;12.42;0.13;93;238.8;287;2047;1799;2325;423.65;78.08;118.91;21.92;329.69;60.77;212.87;39.23;237.93;43.85;171.09;31.53;133.53;24.61;1;2
orange;;italic;Steam;76561198021360335;23;Octane;550;640;1;1;2;6;10;2;0;16.67;385;58.65;3678;2820;858;40;77;806;571;235;7;21;64.71;99.2;663;943;132;1612;849891;216.15;39.29;219.95;39.98;114.11;20.74;307.03;55.8;211.85;38.5;31.33;5.69;9.11;0.13;71;287.9;243.1;2349;2182;2488;407.09;73.99;143.11;26.01;349.71;63.56;200.5;36.44;256.75;46.66;175.56;31.91;117.9;21.43;2;0
