color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;SodaMosa;Epic;0950eacfe56145618b6ff11c9c22f205;7947;;195;176;0;0;1;0;4;1;1;0;447;52.07;1407;1049;358;11;24;145;0;145;0;5;17.11;17.54;85;65;0;1555;292848;80.35;41.69;86.35;44.81;26.01;13.5;93.7;48.62;89.18;46.27;9.84;5.11;5.3;0.13;42;30.8;47.6;2576;2286;2816;131.39;68.18;61.32;31.82;115.22;59.79;77.49;40.21;83.15;43.15;69.61;36.12;39.95;20.73;1;1
blue;;Krykinlink;XBox;bb9f17eaf7010900;23;Octane;195;130;0;0;1;1;4;1;0;0;354;50.81;1215;913;302;12;26;271;195;76;2;7;29.27;32.63;112;292;10;1539;295791;89.25;45.57;67.87;34.66;38.72;19.77;103.55;52.87;87.3;44.57;5;2.55;3.33;0.09;37;44.5;65.7;3137;2885;3235;134.26;68.55;61.59;31.45;114.28;58.35;81.57;41.65;82.56;42.16;64.76;33.07;48.52;24.78;0;0
blue;;Dead VirTuoz;XBox;4f63e60b00000900;23;Octane;195;52;0;0;0;0;4;1;0;0;194;41.08;650;263;387;3;26;36;0;36;0;3;12.5;7.1;120;40;0;1238;226422;132.99;67.91;54.21;27.68;8.62;4.4;142.18;72.61;52.23;26.67;1.4;0.71;1.33;0.33;4;107.6;14.6;3626;4056;3214;165.11;84.32;30.71;15.68;157.73;80.55;38.08;19.45;130.81;66.8;45.87;23.43;19.13;9.77;0;0
blue;;Flentyk;XBox;41f7a346fe010900;23;Octane;195;14;0;0;0;0;4;1;0;0;149;40.39;487;93;394;1;34;203;93;110;1;10;21.98;11.84;145;12;8;1350;258616;137;69.96;54.71;27.94;4.13;2.11;173.04;88.36;22.57;11.52;0.23;0.12;0;0;0;20.5;64.6;2834;3284;2466;113.03;57.71;82.82;42.29;108.93;55.62;86.91;44.38;75.98;38.79;66.62;34.02;53.25;27.19;0;0
orange;;italic;Steam;76561198021360335;23;Octane;195;308;1;0;1;2;1;0;0;50;486;56.19;1472;1160;312;15;23;363;199;164;2;10;30.57;31.3;192;332;11;1659;312346;60.35;31.31;87.02;45.14;45.41;23.56;96.03;49.82;95.07;49.32;1.67;0.87;3.1;0.12;25;46.4;77.9;3032;2855;3295;124.81;64.74;67.97;35.26;122.5;63.54;70.28;36.46;92.24;47.84;57.86;30.01;42.69;22.14;1;1
orange;;urdett;Steam;76561198114060544;23;Octane;195;112;0;0;0;2;1;0;0;0;230;44.79;665;359;306;5;27;95;35;60;1;5;17.1;23.34;0;148;64;1294;236466;115.93;63.3;62.38;34.06;4.83;2.64;114.02;62.26;61.68;33.68;7.44;4.06;3.67;0.16;23;63.5;37.9;2948;2720;3019;146.63;80.06;36.51;19.94;139.15;75.98;43.99;24.02;96.8;52.85;60.77;33.18;25.58;13.97;0;0
orange;;MadameOvary;PS4;MadameOvary;23;Octane;195;28;0;0;0;0;1;0;0;0;207;58.61;734;415;319;6;28;132;76;56;1;5;2.77;10.23;67;187;25;1238;238114;140.06;71.5;48.59;24.81;7.23;3.69;139.47;71.2;56.41;28.8;0;0;3.6;0.15;24;38.7;29.1;2804;2620;2894;134.57;68.7;61.31;31.3;128.23;65.46;67.65;34.54;84.06;42.91;85.49;43.64;26.33;13.44;0;0
orange;;Mason Mount;Steam;76561198080302493;23;Octane;195;19;0;0;0;0;1;0;0;0;296;53.32;987;723;264;10;24;245;139;106;2;10;13.51;15.89;80;285;60;1368;263217;111.93;57.15;73.86;37.71;10.06;5.14;132.02;67.41;61.19;31.24;2.64;1.35;3.37;0.12;28;46.4;47.2;3081;2824;3359;131.41;67.1;64.43;32.9;120.83;61.7;75.02;38.3;95.72;48.87;52.48;26.79;47.66;24.33;0;0
orange;;Rex;Bot;Rex;28;X-Devil;195;0;0;0;0;0;1;0;0;0;294;11.44;24;0;24;0;2;0;0;0;0;0;1.1;0;0;0;0;1148;10138;9.29;73.73;3.31;26.27;0;0;11.36;90.16;1.24;9.84;0;0;0;0;0;0.5;0.4;3045;1576;3413;11.26;89.37;1.34;10.63;12.6;100;0;0;10.09;80.08;2.51;19.92;0;0;0;0
