color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;k.;Steam;76561198832089265;23;Octane;432;657;3;0;0;5;8;4;2;60;414;49.69;2891;2064;827;26;74;555;210;345;3;31;48.44;50.69;483;470;89;1563;619671;184.45;43.18;171.84;40.23;70.87;16.59;262.68;61.49;155.23;36.34;9.25;2.17;12.15;0.12;103;201.7;209.3;2210;2034;2435;305.12;71.43;122.04;28.57;261.87;61.3;165.29;38.7;197.91;46.33;128.55;30.09;100.7;23.57;1;1
blue;;Soup2fruit;Epic;c3fdb15a16cd46759a620cbf06cd1a55;23;Octane;432;479;0;1;2;4;8;4;2;0;466;49.05;3318;2587;731;32;65;590;339;251;5;22;43.62;53.47;490;637;160;1570;623711;188.93;44.12;147.15;34.36;92.12;21.51;193.99;45.3;201.96;47.16;32.25;7.53;13.7;0.1;133;213.7;191.2;2111;1879;2371;325.45;76;102.75;24;290.78;67.91;137.42;32.09;214.15;50.01;125.96;29.42;88.09;20.57;0;1
orange;;Lucky7;Steam;76561198838733713;23;Octane;432;640;3;0;0;6;9;3;1;50;395;54.55;2866;2251;615;30;56;515;326;189;5;17;40.18;53.43;456;768;174;1557;617795;187.92;43.94;172.08;40.24;67.66;15.82;250.59;58.6;158.86;37.15;18.2;4.26;8.29;0.09;95;209.9;191;2534;2311;2747;318.89;74.57;108.77;25.43;283.91;66.39;143.75;33.61;218.55;51.1;126.26;29.52;82.84;19.37;0;1
orange;;italic;Steam;76561198021360335;4284;Fennec;432;576;1;1;3;2;9;3;2;50;366;52.51;2624;1912;712;22;63;763;464;299;5;26;58.56;53.4;509;290;34;1576;628523;184.42;43;169.51;39.52;74.98;17.48;217.87;50.8;195.23;45.52;15.8;3.68;5.97;0.14;43;193.7;211.2;2208;2347;2032;315.37;73.53;113.53;26.47;263.84;61.52;165.06;38.48;202.65;47.25;122.77;28.62;103.48;24.13;2;0
