color,team name,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,file_name,team-name
blue,,,,,,,,687.0,4,1.5,2.0,7,9,3,1.5,100.0,391.5,51.480000000000004,3036.0,2167.5,868.5,26.5,74.0,688.0,323.0,365.0,3.5,29.5,38.43,39.31999999999999,286.0,351.5,27.0,1570.0,655650.5,204.595,48.8,165.32999999999998,39.27,78.515,22.98,256.26,60.89,177.29000000000002,42.73,14.885,3.79,9.375,0.125,74.0,215.25,214.1,2430.5,2244.5,2597.0,337.4,76.11,111.035,25.61,278.49,62.27,169.95,38.07,203.73000000000002,48.56,145.585,37.84,99.12,24.24,2.0,1.5,csv_1.csv,a
orange,,,,,,,,528.0,,,,,,,,,418.0,46.715,2990.0,2138.5,851.5,27.0,70.5,759.5,434.0,325.5,5.5,25.0,52.79,46.55,418.5,572.0,116.5,1561.5,650419.5,199.10500000000002,45.08,185.57,43.02,62.14,14.88,262.01,59.85,164.985,37.08,19.825000000000003,5.8,7.235,0.10500000000000001,72.5,215.5,215.1,2427.0,2354.5,2500.0,307.29499999999996,70.15,139.52499999999998,32.61,279.485,64.53,167.32999999999998,39.43,200.245,46.9,149.9,34.13,96.675,23.14,1.5,2.0,csv_1.csv,b
