color,team name,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,file_name
blue,,italic,Steam,76561198021360335,23,Octane,453,773,1,3,3,4,9,3,2,25.0,439,51.92,3307,2430,877,30,78,781,381,400,4,35,35.94,34.16,526,304,0,1629,687275,192.5,42.51,156.31,34.51,104.07,22.98,242.19,53.48,193.53,42.73,17.16,3.79,6.57,0.12,56,219.5,215.2,2386,2202,2560,336.89,74.39,115.99,25.61,280.48,61.93,172.4,38.07,219.93,48.56,123.17,27.2,109.78,24.24,3,0,csv_1.csv
blue,,emo boi,Steam,76561198053463684,23,Octane,453,601,3,0,1,3,9,3,1,100.0,344,51.04,2765,1905,860,23,70,595,265,330,3,24,40.92,44.48,46,399,54,1511,624026,216.69,48.8,174.35,39.27,52.96,11.93,270.33,60.89,161.05,36.27,12.61,2.84,12.18,0.13,92,211.0,213.0,2475,2287,2634,337.91,76.11,106.08,23.89,276.5,62.27,167.5,37.73,187.53,42.24,168.0,37.84,88.46,19.92,1,3,csv_1.csv
orange,,SeeArr7,Epic,705b9264bf644e0299f5dd008b7a1107,23,Octane,453,704,2,1,2,6,7,4,2,33.33,420,42.81,2970,2105,865,25,68,596,258,338,3,22,77.02,40.26,291,400,41,1556,647803,201.47,45.08,178.94,40.04,66.49,14.88,256.65,57.43,164.33,36.77,25.92,5.8,6.65,0.13,52,224.4,207.1,2377,2226,2524,313.51,70.15,133.39,29.85,288.36,64.53,158.53,35.47,209.61,46.9,147.33,32.97,89.96,20.13,3,2,csv_1.csv
orange,,Jon,Steam,76561198063184132,22,Breakout,453,352,1,0,0,3,7,4,2,33.33,416,50.62,3010,2172,838,29,73,923,610,313,8,28,28.56,52.84,546,744,192,1567,653036,196.74,44.04,192.2,43.02,57.79,12.94,267.37,59.85,165.64,37.08,13.73,3.07,7.82,0.08,93,206.6,223.1,2477,2483,2476,301.08,67.39,145.66,32.61,270.61,60.57,176.13,39.43,190.88,42.73,152.47,34.13,103.39,23.14,0,2,csv_1.csv
