shots-a,shots conceded-a,bpm-a,avg boost amount-a,amount collected-a,amount collected big pads-a,amount collected small pads-a,count collected big pads-a,count collected small pads-a,amount stolen-a,amount stolen big pads-a,amount stolen small pads-a,count stolen big pads-a,count stolen small pads-a,0 boost time-a,100 boost time-a,amount used while supersonic-a,amount overfill total-a,amount overfill stolen-a,avg speed-a,total distance-a,time slow speed-a,percentage slow speed-a,time boost speed-a,percentage boost speed-a,time supersonic speed-a,percentage supersonic speed-a,time on ground-a,percentage on ground-a,time low in air-a,percentage low in air-a,time high in air-a,percentage high in air-a,time powerslide-a,avg powerslide time-a,count powerslide-a,time most back-a,time most forward-a,avg distance to ball-a,avg distance to ball has possession-a,avg distance to ball no possession-a,time behind ball-a,percentage behind ball-a,time in front of ball-a,percentage in front of ball-a,time defensive half-a,percentage defensive half-a,time offensive half-a,percentage offensive half-a,time defensive third-a,percentage defensive third-a,time neutral third-a,percentage neutral third-a,time offensive third-a,percentage offensive third-a,demos inflicted-a,demos taken-a,bpm-b,avg boost amount-b,amount collected-b,amount collected big pads-b,amount collected small pads-b,count collected big pads-b,count collected small pads-b,amount stolen-b,amount stolen big pads-b,amount stolen small pads-b,count stolen big pads-b,count stolen small pads-b,0 boost time-b,100 boost time-b,amount used while supersonic-b,amount overfill total-b,amount overfill stolen-b,avg speed-b,total distance-b,time slow speed-b,percentage slow speed-b,time boost speed-b,percentage boost speed-b,time supersonic speed-b,percentage supersonic speed-b,time on ground-b,percentage on ground-b,time low in air-b,percentage low in air-b,time high in air-b,percentage high in air-b,time powerslide-b,avg powerslide time-b,count powerslide-b,time most back-b,time most forward-b,avg distance to ball-b,avg distance to ball has possession-b,avg distance to ball no possession-b,time behind ball-b,percentage behind ball-b,time in front of ball-b,percentage in front of ball-b,time defensive half-b,percentage defensive half-b,time offensive half-b,percentage offensive half-b,time defensive third-b,percentage defensive third-b,time neutral third-b,percentage neutral third-b,time offensive third-b,percentage offensive third-b,result,gd
6.0,11.0,364.5,49.245000000000005,2029.0,1468.0,561.0,18.5,45.5,417.5,231.5,186.0,3.5,13.0,49.06,22.545,293.5,277.0,79.0,1479.0,476891.5,165.18,48.86,128.395,37.98,44.455,13.15,190.795,56.44,135.515,40.09,11.715,3.465,5.305,0.145,36.5,163.85000000000002,163.95,2510.0,2186.0,2737.0,236.84,70.065,101.185,29.935,233.04,68.94,104.99,31.06,190.36,56.31,85.77000000000001,25.375,61.905,18.315,2.0,0.0,336.0,52.925,1932.5,1453.0,479.5,20.0,42.5,278.5,110.5,168.0,1.5,15.0,25.19,39.58,178.0,561.0,40.0,1451.0,458685.0,167.4,50.425,133.405,40.18000000000001,31.195,9.395,202.695,61.055,114.55,34.504999999999995,14.75,4.44,4.335,0.13,33.0,170.2,163.89999999999998,2451.0,2342.0,2592.0,270.97,81.61500000000001,61.035,18.385,183.725,55.34,148.275,44.66,132.625,39.95,113.015,34.040000000000006,86.36,26.015,0,-3.0
10.0,5.0,411.5,50.36,2337.5,1795.0,542.5,22.5,49.0,562.5,390.5,172.0,4.5,15.5,46.21,34.41,229.5,371.5,61.5,1583.0,528142.5,146.66,41.16,154.04000000000002,43.23,55.63,15.61,200.195,56.18,141.04000000000002,39.58,15.1,4.24,4.87,0.12,40.0,169.3,169.05,2620.5,2515.5,2740.0,257.33000000000004,72.215,99.0,27.785,194.85,54.68,161.48000000000002,45.32,138.02,38.735,119.575,33.56,98.735,27.71,0.0,0.0,361.5,54.045,2132.5,1432.5,700.0,18.5,63.0,445.5,283.5,162.0,3.5,15.0,31.56,31.425,199.5,448.5,70.5,1476.5,492334.0,171.845,48.225,147.8,41.48,36.685,10.295,215.135,60.375,128.035,35.93,13.165,3.695,7.06,0.1699999999999999,43.5,170.2,169.2,2346.0,2216.5,2458.0,257.41,72.24000000000001,98.925,27.76,243.88,68.44,112.45,31.56,181.41,50.91,109.82,30.82,65.1,18.265,1,1.0
9.0,13.0,340.5,52.43,2648.0,1919.5,728.5,24.0,65.0,478.0,276.0,202.0,3.0,19.0,46.605,53.63,399.5,405.0,18.5,1426.0,603545.5,251.35,54.36,163.515,35.355000000000004,47.58,10.28,272.035,58.83,175.595,37.97,14.805,3.2,8.475000000000001,0.18,48.0,215.15,219.6,2403.0,2147.5,2704.5,341.825,73.91499999999999,120.62,26.085,323.495,69.94999999999999,138.945,30.05,262.09000000000003,56.67,120.21,25.995,80.14500000000001,17.33,2.0,0.0,428.0,44.61,3119.5,2318.5,801.0,26.5,68.0,642.5,366.0,276.5,4.0,26.0,68.89,33.36,384.0,351.0,37.0,1492.5,621818.5,216.45,47.515,186.035,40.84,53.11,11.645,281.275,61.745,166.76,36.595,7.555000000000001,1.655,6.325,0.12,52.5,220.6,220.25,2457.0,2183.0,2680.5,350.89,77.015,104.71,22.985,273.325,59.99,182.275,40.010000000000005,199.105,43.7,144.75,31.78,111.735,24.520000000000003,1,1.0
6.0,6.0,412.0,51.345,2332.5,1682.5,650.0,21.0,57.0,502.5,292.0,210.5,4.0,18.5,43.03,30.925,365.5,410.5,103.5,1553.5,496487.5,134.625,40.27,144.285,43.17,55.355,16.565,199.725,59.735,123.92,37.075,10.625,3.19,7.625,0.11,71.0,169.4,163.35,2631.5,2347.5,2784.5,237.16000000000005,70.93,97.11,29.07,205.475,61.46,128.79500000000002,38.540000000000006,138.715,41.485,119.755,35.835,75.795,22.68,2.0,2.0,417.0,51.785,2262.0,1783.5,478.5,22.5,42.0,505.5,352.5,153.0,5.0,14.0,35.275,43.765,224.0,484.5,153.5,1439.5,460699.0,171.04000000000002,51.03,120.48,35.95,43.655,13.02,186.675,55.695,137.39,40.99,11.1,3.31,5.455,0.15,37.0,168.05,164.95,2385.5,2227.0,2610.5,245.33,73.195,89.83500000000001,26.805,219.32,65.435,115.85,34.565,163.11,48.665,100.43,29.965,71.63,21.37,0,-3.0
6.0,5.0,305.0,57.025,1507.5,1180.5,327.0,17.5,29.0,441.5,323.0,118.5,5.0,11.0,27.385,59.395,169.5,530.5,183.5,1494.0,395132.5,138.81,48.835,116.33,40.925,29.11,10.24,156.93,55.21,111.965,39.385000000000005,15.355,5.4,4.68,0.155,29.5,136.7,132.95,2429.0,2370.0,2501.5,225.515,79.34,58.735,20.66,162.60500000000002,57.205,121.64,42.795,117.865,41.47,89.865,31.615,76.52,26.92,0.5,0.0,338.5,45.66,1539.5,939.5,600.0,11.5,53.0,216.0,93.5,122.5,1.0,11.0,25.755,25.705,165.5,216.0,6.0,1449.5,381565.0,146.035,51.635,108.66,38.43,28.105,9.94,179.60000000000002,63.48,95.945,33.95,7.25,2.565,6.895,0.145,50.0,136.55,133.55,2433.0,2036.5,2668.0,205.235,72.57,77.565,27.43,203.775,72.05000000000001,79.03,27.95,146.20999999999998,51.695,100.58,35.555,36.015,12.745,1,5.0
8.0,4.0,402.5,52.79,2403.5,2070.0,333.5,26.5,30.0,394.5,298.5,96.0,4.0,8.5,35.0,52.665,350.0,356.5,13.5,1527.0,501257.0,166.10000000000002,47.215,134.345,38.225,51.125,14.56,190.82,54.265,140.82999999999998,40.065,19.925,5.67,5.445,0.155,35.5,172.45,170.2,2242.0,2182.5,2300.5,252.5,71.80000000000001,99.075,28.200000000000003,228.935,65.1,122.645,34.9,166.83,47.435,111.81,31.8,72.94,20.765,1.5,1.5,357.5,48.56,1987.0,1423.0,564.0,17.5,49.5,379.5,172.5,207.0,2.0,18.0,33.67,27.34,337.5,336.5,27.0,1537.5,504063.5,156.065,44.47,148.37,42.385000000000005,45.99,13.14,180.89,51.58,147.46,42.11,22.08,6.3100000000000005,5.095,0.09,61.0,174.3,172.1,2529.0,2383.0,2636.0,251.745,71.825,98.68,28.175,221.32,63.16,129.11,36.84,164.29,46.88,109.54,31.28,76.6,21.84,1,1.0
4.0,8.0,413.0,53.985,2386.5,1851.5,535.0,23.0,46.5,618.5,410.0,208.5,5.5,19.0,49.515,29.450000000000003,347.5,402.0,89.5,1667.0,545141.0,134.32500000000002,38.03,139.52,39.52,79.265,22.45,187.825,53.175,156.18,44.25,9.105,2.58,4.995,0.145,34.0,167.5,166.85000000000002,2699.5,2542.5,2893.5,243.37,68.91499999999999,109.74,31.085,196.365,55.6,156.74,44.4,149.325,42.275,105.64,29.925,98.14,27.8,0.0,0.5,406.0,51.75,2375.0,1726.5,648.5,22.0,57.0,562.5,328.5,234.0,4.0,20.5,28.895000000000003,31.24,285.0,475.0,70.5,1540.0,504752.0,155.92000000000002,43.975,157.97,44.555,40.65,11.465,205.83,58.06,134.71,38.0,14.0,3.95,5.34,0.11,52.5,167.2,166.25,2142.5,2117.5,2192.5,250.965,70.785,103.57,29.215,239.025,67.42,115.51,32.58,179.3,50.57,107.21,30.24,68.025,19.19,0,-3.0
7.0,11.0,374.0,54.13,2211.5,1702.0,509.5,23.5,45.0,406.0,256.0,150.0,3.0,13.5,33.7,47.575,311.5,520.5,36.5,1496.0,516832.0,174.68,47.315,149.935,40.61,44.67,12.07,210.245,56.95,144.09,39.005,14.945,4.045,6.130000000000001,0.125,48.0,180.2,177.64999999999998,2319.0,2232.0,2395.0,273.595,74.12,95.685,25.88,241.82,65.5,127.46,34.5,184.8,50.03,120.36,32.635,64.12,17.335,1.0,1.0,368.0,52.74,2195.5,1481.5,714.0,19.5,61.0,391.0,135.5,255.5,2.0,19.5,29.98,61.97,457.5,415.0,70.5,1454.5,503743.0,181.75,49.23,147.155,39.855,40.285,10.915,216.44,58.625,135.995,36.835,16.75,4.535,5.92,0.175,34.0,179.75,176.25,2625.5,2602.5,2655.0,278.62,75.47,90.565,24.53,239.595,64.9,129.59,35.1,171.475,46.445,118.53,32.105000000000004,79.185,21.45,0,-1.0
6.0,0.0,419.5,46.725,983.0,718.0,265.0,8.5,24.0,331.0,212.5,118.5,2.5,11.5,16.619999999999997,9.615,134.5,131.0,36.5,1538.5,203466.0,68.905,46.495000000000005,61.24,41.33,18.04,12.175,80.11500000000001,54.065,63.075,42.57,4.99,3.37,2.37,0.14,17.5,66.65,65.9,2730.0,2565.0,3071.0,117.64,79.38499999999999,30.545,20.615,67.39500000000001,45.48,80.79499999999999,54.52,45.705,30.84,45.7,30.835,56.78,38.325,1.0,0.0,259.0,46.925,720.0,468.0,252.0,6.0,21.5,24.5,0.0,24.5,0.0,2.5,11.425,21.605,37.0,136.5,4.5,1362.0,175375.5,87.70500000000001,60.92,42.955,29.880000000000003,13.27,9.2,82.00999999999999,57.0,57.315,39.8,4.605,3.2,2.38,0.135,18.0,72.0,65.95,2395.5,2311.0,2516.5,98.3,68.33,45.64,31.67,127.89,88.86500000000001,16.044999999999998,11.135000000000002,100.525,69.855,37.825,26.25,5.59,3.89,1,4.0
5.0,9.0,382.0,45.47,2258.0,1654.5,603.5,19.0,53.0,630.0,404.0,226.0,4.5,20.0,46.745000000000005,41.935,370.5,206.5,52.5,1528.0,524035.0,176.555,47.295,148.435,39.805,47.995000000000005,12.9,210.17,56.325,149.45999999999998,40.095,13.36,3.585,5.0,0.135,38.5,177.35,177.0,2568.0,2353.5,2754.5,264.555,70.91999999999999,108.43,29.08,233.78,62.655,139.20499999999998,37.345,173.525,46.505,111.19,29.8,88.27000000000001,23.695,0.0,1.0,398.0,48.155,2426.5,1798.0,628.5,24.5,55.0,875.0,629.0,246.0,7.5,21.0,37.03,41.47,160.5,572.5,123.5,1455.0,503194.0,185.835,49.41,151.575,40.3,38.7,10.29,216.375,57.53,143.815,38.24,15.920000000000002,4.23,6.569999999999999,0.105,71.0,176.1,175.3,2370.5,2478.0,2244.0,275.48,73.245,100.63,26.755000000000003,223.24,59.355,152.87,40.645,178.325,47.415000000000006,97.035,25.8,100.745,26.785,0,-1.0
