color,team name,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,file_name
orange,,Lorter_,Epic,0a008aa1eb6a4ece9b14e04d70cbe49e,403,Dominus,335,229,0,1,2,1,8,2,1,0.0,317,48.13,1692,1311,381,14,33,240,100,140,1,12,18.71,52.4,92,93,0,1422,430545,169.36,52.87,133.65,41.72,17.34,5.41,190.4,59.44,123.22,38.47,6.72,2.1,6.91,0.13,55,173.8,152.9,2483,2195,2671,227.9,71.14,92.44,28.86,222.83,69.56,97.52,30.44,177.77,55.49,80.1,25.0,62.47,19.5,0,4,csv_1367.csv
blue,,0,Steam,76561198392900337,23,Octane,333,495,1,0,2,4,8,2,0,25.0,436,51.28,2360,1965,395,22,34,371,300,71,3,6,59.82,41.13,262,215,1,1540,475067,143.47,44.33,117.56,36.32,62.61,19.35,157.13,48.55,145.93,45.09,20.58,6.36,3.99,0.07,60,176.2,142.2,2569,2531,2592,231.38,71.49,92.26,28.51,243.71,75.3,79.93,24.7,194.22,60.01,84.34,26.06,45.08,13.93,1,1,csv_1368.csv
blue,,italic,Steam,76561198021360335,23,Octane,333,417,0,1,2,2,8,2,2,0.0,443,49.56,2458,1918,540,22,50,755,572,183,6,18,39.95,29.58,340,189,27,1584,497412,131.17,39.85,140.13,42.57,57.85,17.58,181.3,55.08,130.18,39.55,17.66,5.37,5.65,0.13,45,152.4,181.5,2184,1956,2418,213.9,64.99,115.25,35.01,219.69,66.74,109.46,33.26,179.42,54.51,80.39,24.42,69.33,21.06,1,1,csv_1368.csv
orange,,Micha,Steam,76561198192276329,23,Octane,333,496,1,0,2,4,6,1,0,25.0,335,51.59,1779,1164,615,16,55,923,572,351,8,31,26.95,37.39,272,350,139,1588,503908,141.22,42.44,131.82,39.61,59.72,17.95,187.68,56.4,133.92,40.25,11.15,3.35,7.23,0.1,72,160.1,175.0,2206,1980,2409,239.42,71.95,93.34,28.05,152.83,45.93,179.92,54.07,113.24,34.03,97.0,29.15,122.51,36.82,2,0,csv_1368.csv
orange,,Hs_715,PS4,Hs_715,4284,Fennec,333,338,1,0,1,4,6,1,1,25.0,425,49.43,2305,1818,487,21,42,530,376,154,4,14,29.44,47.74,465,194,23,1478,459828,162.65,49.82,114.47,35.06,49.37,15.12,200.1,61.29,119.19,36.51,7.2,2.21,5.0,0.14,37,174.5,150.3,2500,2461,2531,239.99,73.51,86.5,26.49,163.33,50.03,163.16,49.97,108.63,33.27,112.87,34.57,105.0,32.16,0,2,csv_1368.csv
blue,,italic,Steam,76561198021360335,23,Octane,342,386,1,0,1,2,6,3,1,50.0,453,46.58,2408,1826,582,21,50,524,288,236,4,20,58.58,35.73,607,218,117,1600,518008,134.63,39.36,145.82,42.63,61.64,18.02,199.6,58.35,129.56,37.87,12.93,3.78,4.57,0.16,28,140.5,192.8,1964,1815,2137,225.91,66.04,116.18,33.96,204.83,59.88,137.26,40.12,143.69,42.0,109.68,32.06,88.72,25.93,4,0,csv_1369.csv
blue,,GurgamelFU,Steam,76561198150555453,23,Octane,342,272,0,0,1,4,6,3,2,0.0,460,53.89,2709,2058,651,26,59,493,305,188,4,18,41.69,47.86,480,561,104,1523,487280,148.94,43.93,140.69,41.49,49.44,14.58,189.66,55.94,129.55,38.21,19.86,5.86,7.02,0.16,43,192.9,138.9,2266,2073,2397,253.02,74.62,86.05,25.38,218.61,64.47,120.46,35.53,158.64,46.79,104.75,30.89,75.68,22.32,2,1,csv_1369.csv
orange,,A Custard Cr3am,XBox,cda49273fc010900,4284,Fennec,342,617,3,0,0,5,6,1,0,60.0,418,49.56,2469,2013,456,22,41,425,284,141,3,12,53.6,25.58,243,200,15,1584,503640,133.88,39.85,155.14,46.18,46.95,13.97,188.22,56.02,136.27,40.56,11.49,3.42,4.96,0.11,44,146.3,197.6,2463,2361,2589,246.97,73.51,89.0,26.49,202.4,60.24,133.58,39.76,149.18,44.4,118.21,35.18,68.59,20.41,0,2,csv_1369.csv
orange,,endo2003,PS4,endo2003,2269,'99 Nissan Skyline GT-R R34,342,392,0,2,2,1,6,1,1,0.0,472,41.67,2785,1995,790,22,65,168,0,168,0,14,66.69,37.9,713,229,0,1586,493923,136.37,41.33,137.87,41.78,55.75,16.89,215.44,65.28,105.96,32.11,8.6,2.61,4.86,0.09,55,203.1,134.0,2835,2789,2911,261.01,79.09,68.99,20.91,236.91,71.79,93.09,28.21,175.48,53.17,104.38,31.63,50.15,15.2,1,4,csv_1369.csv
blue,,PatPaVinci,PS4,PatPaVinci,23,Octane,389,795,3,1,3,6,9,4,0,50.0,372,48.71,2594,2056,538,25,48,389,246,143,3,12,50.63,40.25,234,445,53,1592,553080,153.61,39.85,194.23,50.39,37.59,9.75,223.47,57.98,146.9,38.11,15.06,3.91,4.84,0.11,45,176.3,181.6,2930,2599,3265,287.69,74.64,97.74,25.36,244.16,63.35,141.27,36.65,175.87,45.63,118.78,30.82,90.79,23.55,1,1,csv_137.csv
blue,,koekiepenoekie,Epic,de67aecc2ec94d8c9c31e2fa6470ac01,23,Octane,389,562,2,1,2,5,9,4,4,40.0,446,47.33,2791,2111,680,25,54,743,379,364,4,26,35.12,26.7,376,378,20,1567,542552,175.95,45.65,145.73,37.81,63.78,16.55,213.04,55.27,152.22,39.49,20.2,5.24,5.8,0.13,46,184.1,173.0,2449,2415,2518,287.59,74.61,97.87,25.39,230.56,59.81,154.9,40.19,160.49,41.63,136.05,35.29,88.93,23.07,1,1,csv_137.csv
orange,,akron.,Steam,76561198222457716,4284,Fennec,389,716,3,1,1,6,11,5,2,50.0,425,41.68,2640,2199,441,24,41,243,98,145,1,13,61.08,40.99,231,203,1,1597,558926,163.99,42.19,171.43,44.1,53.29,13.71,207.11,53.28,169.43,43.59,12.17,3.13,9.15,0.11,81,196.1,164.3,2479,2421,2509,301.31,77.52,87.4,22.48,282.48,72.67,106.23,27.33,213.77,54.99,123.47,31.76,51.47,13.24,1,0,csv_137.csv
orange,,italic,Steam,76561198021360335,23,Octane,389,432,1,2,2,3,11,5,3,33.33,443,49.6,2796,2227,569,27,51,358,165,193,3,17,42.11,54.12,464,348,61,1553,536088,173.84,45.44,152.96,39.98,55.77,14.58,226.55,59.22,149.5,39.08,6.52,1.7,5.15,0.12,43,161.3,193.6,2802,2834,2809,265.51,69.4,117.06,30.6,257.59,67.33,124.97,32.67,192.62,50.35,127.7,33.38,62.24,16.27,1,2,csv_137.csv
blue,,[LOVV] Aragon,Steam,76561198038140392,23,Octane,342,532,1,0,3,3,5,1,0,33.33,378,46.88,2423,1787,636,20,55,725,446,279,5,24,57.94,39.01,195,220,53,1494,482387,161.41,47.23,140.17,41.01,40.2,11.76,189.77,55.52,138.19,40.43,13.82,4.04,6.83,0.09,73,179.1,161.0,2445,2325,2498,258.9,75.75,82.88,24.25,232.62,68.06,109.16,31.94,180.59,52.84,103.08,30.16,58.11,17.0,2,0,csv_1370.csv
blue,,F4lCoN,Steam,76561198206982921,4284,Fennec,342,522,2,1,1,4,5,1,1,50.0,380,51.71,2090,1489,601,19,53,390,213,177,3,16,22.39,30.78,107,420,86,1492,468423,157.99,47.5,129.96,39.07,44.69,13.43,192.11,57.75,129.74,39.0,10.79,3.24,6.55,0.11,58,161.1,170.1,2111,2001,2137,240.36,72.26,92.28,27.74,222.92,67.02,109.71,32.98,165.16,49.65,102.36,30.77,65.12,19.58,1,3,csv_1370.csv
orange,,Zaaf.,Epic,9b9e29ef9ca340d1b4d1a448f32e7f10,23,Octane,342,432,1,0,3,3,7,3,2,33.33,511,47.6,2811,2373,438,27,40,392,300,92,3,8,74.93,32.74,284,336,0,1565,492492,133.92,40.26,143.56,43.16,55.16,16.58,173.2,52.07,143.82,43.24,15.61,4.69,3.38,0.08,45,201.1,132.5,2902,2397,3126,253.19,76.12,79.45,23.88,219.07,65.86,113.57,34.14,154.95,46.58,112.73,33.89,64.95,19.53,1,3,csv_1370.csv
orange,,italic,Steam,76561198021360335,23,Octane,342,216,0,0,1,2,7,3,1,0.0,470,58.37,2606,2084,522,29,49,820,516,304,8,28,32.39,29.94,619,709,283,1699,548972,113.89,33.33,140.14,41.01,87.71,25.67,191.5,56.04,142.9,41.82,7.34,2.15,5.22,0.15,34,139.0,201.2,2486,1967,2842,231.59,67.77,110.15,32.23,179.32,52.47,162.42,47.53,124.55,36.45,108.16,31.65,109.02,31.9,2,0,csv_1370.csv
blue,,italic,Steam,76561198021360335,23,Octane,378,872,4,1,2,7,9,1,0,57.14,440,52.0,2534,1985,549,27,46,672,484,188,8,18,29.04,34.83,291,390,121,1499,515758,176.36,47.1,141.3,37.74,56.74,15.15,215.7,57.61,148.71,39.72,10.0,2.67,5.47,0.15,36,148.7,211.4,2115,2110,2332,280.54,74.93,93.86,25.07,201.75,53.88,172.66,46.12,133.39,35.63,131.46,35.11,109.56,29.26,0,1,csv_1371.csv
blue,,merguez13310,PS4,merguez13310,4284,Fennec,378,693,2,1,4,5,9,1,1,40.0,370,44.79,2163,1691,472,20,41,633,465,168,5,14,42.24,77.16,204,320,34,1405,484680,201.03,53.2,147.17,38.94,29.7,7.86,220.81,58.43,140.56,37.2,16.52,4.37,6.33,0.2,31,219.2,145.4,2569,2877,2274,299.33,79.21,78.57,20.79,229.96,60.85,147.93,39.15,170.41,45.09,120.31,31.84,87.18,23.07,0,0,csv_1371.csv
orange,,HMELSH2006,PS4,HMELSH2006,23,Octane,378,455,1,0,3,5,12,6,2,20.0,282,55.33,1550,1125,425,17,36,315,136,179,2,15,30.87,30.73,182,576,64,1361,404111,229.11,61.78,111.78,30.14,29.98,8.08,253.21,68.27,112.17,30.25,5.49,1.48,4.61,0.15,30,178.5,192.1,2528,2515,2504,268.2,72.32,102.66,27.68,275.9,74.39,94.97,25.61,227.6,61.37,96.51,26.02,46.75,12.61,0,0,csv_1371.csv
orange,,Ereninho,Steam,76561198064870577,4284,Fennec,378,234,0,0,1,4,12,6,4,0.0,409,41.55,2283,1782,501,20,43,532,372,160,4,14,72.65,33.32,82,218,27,1425,491630,186.68,49.41,139.48,36.92,51.63,13.67,163.26,43.21,199.34,52.76,15.19,4.02,3.92,0.2,20,203.1,218.6,2604,2429,2621,264.38,69.98,113.41,30.02,266.09,70.43,111.7,29.57,218.04,57.71,93.02,24.62,66.73,17.66,1,0,csv_1371.csv
blue,,The_Blackjohn,Epic,a3af69a326674b86a36cbf40f4994577,23,Octane,316,320,1,1,0,5,7,7,4,20.0,381,43.06,2209,1729,480,19,41,439,272,167,3,14,49.94,32.94,452,170,27,1485,417469,157.64,49.97,120.26,38.12,37.55,11.9,192.62,61.06,105.52,33.45,17.31,5.49,5.79,0.17,34,142.2,147.0,2524,2721,2323,221.71,70.28,93.74,29.72,223.44,70.83,92.01,29.17,171.66,54.42,81.12,25.71,62.68,19.87,2,0,csv_1372.csv
blue,,o agios malakas,Epic,9cc4fbafcc5b4ccbbbf957ac9ce51d63,23,Octane,316,294,1,1,1,1,7,7,3,100.0,397,51.27,2077,1520,557,17,51,498,309,189,4,18,29.21,38.76,367,227,109,1562,437254,148.56,47.43,109.36,34.92,55.29,17.65,188.32,60.13,111.93,35.74,12.95,4.13,5.15,0.13,39,148.3,143.2,2290,2158,2405,226.46,72.31,86.74,27.69,213.35,68.12,99.85,31.88,158.55,50.62,95.46,30.48,59.19,18.9,1,0,csv_1372.csv
orange,,italic,Steam,76561198021360335,23,Octane,316,682,3,0,1,3,6,2,1,100.0,435,50.28,2105,1838,267,23,24,547,447,100,5,9,41.18,35.42,443,350,12,1577,440995,142.75,45.61,107.65,34.39,62.6,20.0,154.73,49.43,136.16,43.5,22.12,7.07,3.67,0.12,30,150.2,142.6,2552,2438,2677,254.07,81.17,58.93,18.83,194.94,62.28,118.06,37.72,148.91,47.58,103.3,33.0,60.79,19.42,0,1,csv_1372.csv
orange,,verschlafen,Steam,76561198805249382,4284,Fennec,316,649,4,2,0,4,6,2,1,100.0,441,48.14,2005,1476,529,16,43,497,283,214,3,14,28.87,32.95,269,135,20,1524,421992,144.1,46.36,126.73,40.77,39.98,12.86,187.1,60.2,109.86,35.35,13.85,4.46,5.07,0.09,56,143.3,146.5,2656,2646,2611,232.6,74.83,78.22,25.17,194.37,62.53,116.45,37.47,144.55,46.51,97.55,31.39,68.71,22.11,0,2,csv_1372.csv
blue,,italic,Steam,76561198021360335,23,Octane,352,547,1,1,5,1,8,2,2,100.0,446,54.92,2671,2042,629,26,55,440,225,215,3,18,34.84,43.87,542,358,1,1580,517344,148.46,42.4,134.91,38.53,66.74,19.06,173.93,49.68,163.42,46.67,12.78,3.65,4.46,0.14,31,198.5,140.2,2486,2170,2894,272.65,77.87,77.47,22.13,234.1,66.86,116.02,33.14,173.76,49.63,109.35,31.23,67.01,19.14,0,0,csv_1373.csv
blue,,IzMikxy,XBox,665d1c26fe010900,23,Octane,352,416,2,1,0,5,8,2,0,40.0,383,46.23,2069,1579,490,20,43,210,92,118,1,10,46.82,38.83,358,337,7,1446,473789,191.63,54.57,113.28,32.26,46.26,13.17,194.49,55.39,141.02,40.16,15.65,4.46,5.0,0.13,39,144.9,199.1,2320,2421,2187,240.23,68.41,110.94,31.59,208.51,59.38,142.65,40.62,154.54,44.01,106.33,30.28,90.29,25.71,3,0,csv_1373.csv
orange,,Remi e fort,XBox,5427da40ff010900,23,Octane,352,495,2,0,1,6,6,3,2,33.33,381,55.42,2288,1680,608,23,53,441,305,136,4,13,43.07,52.78,283,643,99,1460,476840,172.25,49.41,133.58,38.32,42.77,12.27,204.72,58.73,134.2,38.5,9.68,2.78,6.55,0.14,48,191.8,152.9,2731,2792,2696,272.32,78.12,76.29,21.88,248.29,71.22,100.32,28.78,176.29,50.57,118.93,34.12,53.39,15.32,0,1,csv_1373.csv
orange,,Ki4uA,XBox,e4722f47f4010900,23,Octane,352,196,0,1,0,2,6,3,1,0.0,321,50.83,1827,1345,482,16,42,156,0,156,0,13,35.97,25.62,133,265,0,1467,471989,172.03,50.03,136.39,39.67,35.4,10.3,219.52,63.85,107.29,31.2,17.02,4.95,5.9,0.16,38,155.8,184.5,2785,2466,3036,247.46,71.97,96.36,28.03,211.36,61.47,132.47,38.53,149.81,43.57,127.32,37.03,66.69,19.4,0,2,csv_1373.csv
blue,,italic,Steam,76561198021360335,23,Octane,355,630,1,1,3,4,7,3,1,25.0,477,51.97,2570,2103,467,25,42,565,433,132,5,12,37.93,51.66,480,333,78,1632,542650,139.26,39.24,145.58,41.02,70.02,19.73,177.06,49.9,157.08,44.27,20.71,5.84,4.64,0.14,34,200.3,141.1,2574,2484,2622,259.27,73.06,95.59,26.94,217.62,61.33,137.23,38.67,160.5,45.23,102.1,28.77,92.25,26.0,2,0,csv_1374.csv
blue,,IzMikxy,XBox,665d1c26fe010900,23,Octane,355,224,1,0,0,2,7,3,2,50.0,432,51.9,2551,1973,578,22,38,564,324,240,4,14,40.98,40.19,702,230,75,1625,538795,145.34,40.94,148.82,41.92,60.84,17.14,210.98,59.43,135.45,38.16,8.56,2.41,7.77,0.14,57,140.7,200.5,2540,2454,2601,213.39,60.11,141.61,39.89,178.13,50.18,176.87,49.82,123.97,34.92,126.93,35.75,104.1,29.32,3,0,csv_1374.csv
orange,,mechanio,Steam,76561198256090989,23,Octane,355,635,3,0,2,7,6,2,0,42.86,362,44.72,2142,1670,472,19,42,449,316,133,4,12,41.99,24.85,463,241,83,1489,490617,174.8,49.68,129.29,36.74,47.78,13.58,217.4,61.78,126.88,36.06,7.59,2.16,10.76,0.22,50,202.1,155.2,2466,2378,2598,294.33,83.65,57.54,16.35,248.14,70.52,103.72,29.48,195.68,55.61,97.06,27.58,59.13,16.8,0,1,csv_1374.csv
orange,,merguez13310,PS4,merguez13310,4284,Fennec,355,274,0,1,1,0,6,2,2,0.0,438,46.08,2464,1609,855,21,76,335,73,262,1,22,29.14,38.4,576,513,26,1501,478095,160.96,46.94,136.1,39.69,45.81,13.36,224.4,65.45,108.35,31.6,10.11,2.95,7.16,0.16,46,159.7,183.5,2433,2445,2398,266.23,77.65,76.64,22.35,248.84,72.58,94.02,27.42,187.74,54.76,109.43,31.92,45.7,13.33,0,4,csv_1374.csv
blue,,partytaxi,PS4,partytaxi,4284,Fennec,373,672,3,0,2,4,11,3,2,75.0,380,52.64,2339,1927,412,24,40,301,175,126,3,12,51.21,57.65,71,417,132,1410,484232,190.14,51.05,153.79,41.29,28.51,7.65,207.63,55.75,145.54,39.08,19.27,5.17,5.76,0.1,56,180.0,172.1,2628,2525,2792,294.64,79.11,77.81,20.89,251.81,67.61,120.64,32.39,197.53,53.04,106.59,28.62,68.33,18.35,2,0,csv_1375.csv
blue,,italic,Steam,76561198021360335,23,Octane,373,412,1,0,3,3,11,3,1,33.33,408,52.8,2610,2023,587,25,54,215,62,153,1,14,52.37,49.53,309,343,0,1551,531222,176.43,47.38,138.25,37.12,57.73,15.5,196.15,52.67,164.71,44.23,11.55,3.1,5.69,0.15,38,172.4,179.1,2496,2445,2520,284.68,76.44,87.73,23.56,247.4,66.43,125.0,33.57,188.05,50.5,118.75,31.89,65.61,17.62,0,0,csv_1375.csv
orange,,Neiji,Steam,76561198837815566,23,Octane,373,494,2,1,1,8,7,4,0,25.0,399,55.09,2371,2005,366,27,34,276,174,102,3,9,40.3,84.29,222,699,125,1520,515798,174.5,47.08,151.66,40.92,44.5,12.01,237.04,63.95,124.78,33.66,8.85,2.39,7.3,0.12,60,185.8,168.4,2636,2424,2783,291.99,78.77,78.68,21.23,250.9,67.69,119.77,32.31,194.47,52.47,110.2,29.73,65.99,17.8,0,1,csv_1375.csv
orange,,JM,Steam,76561198174080927,23,Octane,373,398,1,1,1,3,7,4,4,33.33,382,47.27,2309,1728,581,21,51,335,175,160,2,14,44.15,44.8,208,380,24,1482,502928,183.37,49.64,157.21,42.56,28.81,7.8,219.67,59.47,124.89,33.81,24.83,6.72,10.25,0.1,101,170.3,183.1,2641,2492,2761,281.95,76.33,87.44,23.67,261.46,70.78,107.93,29.22,199.81,54.09,112.48,30.45,57.1,15.46,0,1,csv_1375.csv
blue,,apparently nathan,Steam,76561198313196246,23,Octane,325,599,2,0,2,5,7,0,0,40.0,426,49.75,2211,1749,462,23,40,653,574,79,7,7,35.6,52.11,411,565,125,1499,466628,150.01,46.6,131.44,40.83,40.48,12.57,192.31,59.74,105.17,32.67,24.45,7.59,4.57,0.11,42,183.2,139.3,2528,2458,2586,259.99,80.76,61.94,19.24,211.92,65.83,110.01,34.17,164.21,51.01,89.54,27.81,68.19,21.18,0,1,csv_1376.csv
blue,,Neuhk,Steam,76561198306779034,23,Octane,325,375,0,0,4,5,7,0,0,0.0,441,52.77,2354,1767,587,19,57,681,464,217,5,19,34.48,37.72,376,165,38,1661,520572,108.14,33.28,149.1,45.89,67.7,20.83,186.51,57.4,131.1,40.34,7.34,2.26,4.82,0.09,54,142.4,181.6,2410,2197,2616,231.39,71.21,93.56,28.79,203.47,62.62,121.48,37.38,150.54,46.33,101.28,31.17,73.12,22.5,1,0,csv_1376.csv
orange,,italic,Steam,76561198021360335,23,Octane,325,508,0,0,3,2,10,2,1,0.0,410,60.67,2270,1785,485,24,46,618,466,152,6,13,33.36,37.89,413,358,45,1575,493163,144.95,44.6,117.14,36.04,62.93,19.36,184.33,56.71,124.32,38.25,16.37,5.04,5.33,0.13,40,168.2,156.2,2373,2141,2655,246.52,75.85,78.5,24.15,195.65,60.2,129.37,39.8,140.42,43.2,102.02,31.39,82.58,25.41,1,0,csv_1376.csv
orange,,TTV.SH0Y0O,Steam,76561198968092461,4284,Fennec,325,409,0,0,3,5,10,2,1,0.0,398,50.8,2037,1576,461,17,40,94,0,94,0,8,37.14,21.99,280,133,0,1506,467554,146.76,45.59,137.37,42.67,37.79,11.74,185.26,57.55,123.41,38.33,13.26,4.12,9.07,0.1,94,156.6,164.4,2317,2195,2482,228.73,71.05,93.2,28.95,198.31,61.6,123.61,38.4,135.05,41.95,108.74,33.78,78.12,24.27,0,1,csv_1376.csv
blue,,italic,Steam,76561198021360335,23,Octane,122,378,2,2,0,2,1,0,0,100.0,465,44.34,910,698,212,7,19,147,100,47,1,4,13.36,7.81,147,5,0,1624,173505,55.32,45.31,43.83,35.9,22.94,18.79,63.85,52.3,50.71,41.54,7.52,6.16,1.58,0.13,12,57.1,49.7,2469,2190,2845,108.69,89.03,13.39,10.97,79.19,64.86,42.9,35.14,53.1,43.49,43.04,35.25,25.95,21.25,0,0,csv_1377.csv
blue,,Kyrios0,Steam,76561199089259655,23,Octane,122,370,2,1,1,3,1,0,0,66.67,510,44.39,952,762,190,8,17,36,0,36,0,4,13.07,6.62,170,37,0,1696,181110,47.77,39.1,52.01,42.58,22.38,18.32,58.99,48.29,49.3,40.36,13.87,11.35,1.15,0.13,9,49.9,57.0,2771,2572,2389,102.15,83.62,20.01,16.38,72.13,59.05,50.03,40.95,51.08,41.81,43.61,35.7,27.48,22.49,0,0,csv_1377.csv
orange,,Arceus,Steam,76561198073021065,23,Octane,122,88,0,0,1,1,5,4,3,0.0,405,43.03,668,450,218,5,19,60,0,60,0,5,11.19,5.83,38,49,0,1510,161099,66.62,54.6,41.49,34.01,13.9,11.39,73.72,60.42,44.49,36.46,3.81,3.12,3.6,0.09,42,66.5,40.1,2307,1978,2390,87.99,72.12,34.02,27.88,98.66,80.86,23.36,19.14,74.18,60.79,33.55,27.5,14.29,11.71,0,0,csv_1377.csv
orange,,diskosven,Steam,76561198020759578,23,Octane,122,18,0,0,0,0,5,4,1,0.0,336,56.92,679,538,141,6,13,19,0,19,0,2,17.1,15.73,0,77,5,1411,147276,67.81,56.59,41.12,34.32,10.89,9.09,63.71,53.17,52.16,43.53,3.96,3.3,1.08,0.12,9,40.2,65.9,2564,2421,2773,77.9,65.01,41.93,34.99,83.97,70.08,35.85,29.92,58.81,49.08,47.19,39.38,13.82,11.53,0,0,csv_1377.csv
blue,,Thom,Steam,76561198013581306,3157,Maverick GXT,164,177,0,0,2,0,7,3,1,0.0,286,60.63,873,604,269,8,19,174,151,23,2,2,5.94,50.72,138,204,48,1387,210777,98.52,60.06,51.39,31.33,14.12,8.61,105.33,64.21,58.23,35.5,0.47,0.29,2.02,0.17,12,89.6,65.9,2606,2325,2808,109.25,66.6,54.78,33.4,120.52,73.47,43.51,26.53,92.6,56.45,51.96,31.68,19.47,11.87,0,0,csv_1378.csv
blue,,Deagle089&,Steam,76561198000649408,23,Octane,164,118,0,0,1,1,7,3,2,0.0,388,38.25,1000,806,194,9,17,60,0,60,0,5,47.04,6.98,46,100,0,1447,217017,84.29,52.33,65.34,40.56,11.45,7.11,93.08,57.79,63.25,39.27,4.74,2.94,1.91,0.13,15,66.9,87.4,2097,1575,2313,98.74,61.3,62.34,38.7,112.43,69.8,48.65,30.2,85.65,53.17,47.72,29.63,27.71,17.2,1,1,csv_1378.csv
orange,,italic,Steam,76561198021360335,23,Octane,164,392,2,1,0,4,1,0,0,50.0,417,49.99,1130,870,260,10,23,255,179,76,2,7,27.15,12.31,288,109,1,1584,241490,70.55,43.01,66.73,40.68,26.75,16.31,83.5,50.91,72.72,44.33,7.81,4.76,3.1,0.15,20,79.4,76.9,2000,1898,2136,139.52,85.06,24.51,14.94,91.1,55.54,72.93,44.46,56.81,34.63,63.1,38.47,44.12,26.9,0,0,csv_1378.csv
orange,,R0cK3teR,Steam,76561198281628224,23,Octane,164,222,1,0,1,3,1,0,0,33.33,380,55.59,1090,809,281,11,25,132,0,132,0,11,19.19,28.72,99,301,0,1531,228043,81.19,50.43,50.03,31.08,29.76,18.49,84.3,52.37,63.03,39.16,13.64,8.47,3.13,0.1,31,76.3,80.1,2426,2054,2720,126.46,78.56,34.51,21.44,86.57,53.78,74.4,46.22,53.57,33.28,64.44,40.03,42.96,26.69,1,1,csv_1378.csv
blue,,Neptune Libaczky,Steam,76561198163240372,23,Octane,403,878,3,3,2,3,10,5,2,100.0,390,45.18,2432,1991,441,23,38,266,125,141,2,12,47.24,85.24,414,311,74,1444,504589,217.66,55.14,122.3,30.98,54.81,13.88,225.15,57.03,147.43,37.35,22.19,5.62,4.85,0.12,41,201.2,159.5,2681,2506,2913,322.58,81.72,72.18,18.28,298.42,75.6,96.34,24.4,221.4,56.08,124.23,31.47,49.14,12.45,0,2,csv_1379.csv
blue,,Tomi1325,Steam,76561198401875342,23,Octane,403,613,4,0,0,7,10,5,3,57.14,409,49.67,3058,2286,772,29,75,688,421,267,5,26,25.16,51.2,247,656,83,1583,559976,184.03,45.81,155.78,38.78,61.92,15.41,243.85,60.7,147.23,36.65,10.64,2.65,7.88,0.1,78,166.9,205.8,2690,2512,2916,289.65,72.1,112.07,27.9,288.81,71.89,112.91,28.11,219.38,54.61,107.31,26.71,75.04,18.68,1,0,csv_1379.csv
orange,,bebsi,Steam,76561198162538775,23,Octane,403,599,4,0,0,7,10,7,3,57.14,410,51.66,2060,1631,429,19,40,562,460,102,5,10,21.58,42.79,369,305,48,1469,426667,189.24,55.41,106.68,31.24,45.61,13.35,196.89,57.65,132.34,38.75,12.31,3.6,5.83,0.12,48,159.3,160.5,2350,2226,2477,239.8,70.21,101.73,29.79,214.01,62.66,127.52,37.34,162.58,47.6,87.81,25.71,91.14,26.69,0,0,csv_1379.csv
orange,,italic,Steam,76561198021360335,23,Octane,403,443,1,2,1,3,10,7,4,33.33,451,53.01,3063,2430,633,34,57,483,223,260,4,23,57.58,30.66,560,592,58,1667,586692,163.46,41.18,153.69,38.72,79.75,20.09,228.54,57.58,159.69,40.23,8.67,2.18,5.4,0.11,48,213.5,215.0,2280,2348,2187,289.76,73.01,107.13,26.99,245.13,61.76,151.76,38.24,179.97,45.34,138.4,34.87,78.53,19.79,2,1,csv_1379.csv
blue,,italic,Steam,76561198021360335,23,Octane,356,475,1,0,1,5,8,4,1,20.0,463,50.36,2679,2104,575,26,50,782,651,131,8,11,59.26,22.46,409,241,48,1596,526029,144.6,41.01,136.41,38.69,71.59,20.3,182.37,51.72,159.19,45.15,11.05,3.13,4.94,0.12,42,159.2,191.0,2414,1898,2923,248.75,70.55,103.85,29.45,213.8,60.64,138.8,39.36,153.92,43.65,114.82,32.56,83.87,23.79,0,1,csv_138.csv
blue,,Kevin De Bruyne,Steam,76561198080302493,23,Octane,356,156,0,1,1,0,8,4,3,0.0,359,50.67,1941,1514,427,18,43,134,46,88,1,9,40.9,31.39,133,337,73,1393,442210,182.84,53.63,139.34,40.87,18.78,5.51,223.81,65.64,108.67,31.87,8.48,2.49,8.95,0.13,67,188.1,144.7,3057,3089,3036,246.3,72.24,94.66,27.76,225.3,66.08,115.66,33.92,165.71,48.6,134.98,39.59,40.26,11.81,0,3,csv_138.csv
