goals-a,shots-a,shots conceded-a,goals conceded-a,bpm-a,avg boost amount-a,amount collected-a,amount collected big pads-a,amount collected small pads-a,count collected big pads-a,count collected small pads-a,amount stolen-a,amount stolen big pads-a,amount stolen small pads-a,count stolen big pads-a,count stolen small pads-a,amount used while supersonic-a,amount overfill total-a,amount overfill stolen-a,avg speed-a,total distance-a,percentage slow speed-a,percentage boost speed-a,percentage supersonic speed-a,percentage on ground-a,percentage low in air-a,percentage high in air-a,count powerslide-a,avg distance to ball-a,avg distance to ball has possession-a,avg distance to ball no possession-a,percentage behind ball-a,percentage in front of ball-a,percentage defensive half-a,percentage offensive half-a,percentage defensive third-a,percentage neutral third-a,percentage offensive third-a,demos inflicted-a,demos taken-a,bpm-b,avg boost amount-b,amount collected-b,amount collected big pads-b,amount collected small pads-b,count collected big pads-b,count collected small pads-b,amount stolen-b,amount stolen big pads-b,amount stolen small pads-b,count stolen big pads-b,count stolen small pads-b,amount used while supersonic-b,amount overfill total-b,amount overfill stolen-b,avg speed-b,total distance-b,percentage slow speed-b,percentage boost speed-b,percentage supersonic speed-b,percentage on ground-b,percentage low in air-b,percentage high in air-b,count powerslide-b,avg distance to ball-b,avg distance to ball has possession-b,avg distance to ball no possession-b,percentage behind ball-b,percentage in front of ball-b,percentage defensive half-b,percentage offensive half-b,percentage defensive third-b,percentage neutral third-b,percentage offensive third-b,demos inflicted-b,demos taken-b
4.0,9.0,7.0,3.0,394.5,54.735,2513.5,2014.5,499.0,24.5,46.0,429.0,267.5,161.5,3.5,15.5,350.5,331.0,56.0,1520.0,516421.0,59.03,41.38,21.76,62.32,47.56,3.06,40.0,2634.5,2691.5,2584.5,77.65,23.35,66.04,36.54,51.5,38.53,23.19,0.0,0.5,360.0,53.33,2243.5,1601.5,642.0,19.5,59.5,381.0,177.0,204.0,2.5,18.5,528.0,398.0,83.5,1538.5,520246.5,47.99,44.48,13.55,68.55,31.48,1.9,40.0,2722.5,2435.0,2902.5,75.18,26.38,69.08,36.74,50.35,36.92,22.96,0.5,0.0
4.0,10.0,4.0,1.0,382.0,51.865,1626.5,1271.5,355.0,16.0,28.5,464.0,313.5,150.5,4.5,10.5,228.5,307.0,143.0,1477.5,371157.5,55.24,40.73,20.48,60.45,47.96,5.97,30.5,2354.0,2423.5,2214.0,78.24,28.29,56.63,48.05,42.61,30.76,29.95,0.5,0.0,362.5,48.075,1648.5,1304.5,344.0,15.5,29.5,354.5,283.5,71.0,3.0,6.0,323.0,200.5,16.0,1500.0,373296.0,55.41,44.52,12.7,55.75,44.53,3.9,41.0,2464.0,2436.5,2488.5,74.43,29.53,71.57,28.64,58.69,28.32,16.51,0.0,0.5
1.0,5.0,7.0,3.0,387.0,52.24,2221.0,1728.0,493.0,21.0,45.0,516.5,321.5,195.0,3.5,17.5,228.0,274.5,29.5,1547.0,499548.5,54.97,43.53,21.81,57.0,45.23,6.5,47.5,2545.5,2243.0,2792.5,72.5,37.37,56.49,43.98,42.54,31.17,30.37,0.0,0.5,378.5,49.685,2132.5,1581.0,551.5,20.0,45.5,301.0,183.5,117.5,2.5,10.5,216.5,426.5,65.5,1456.0,471650.0,52.45,37.26,11.62,55.32,43.35,5.32,35.0,2403.5,2137.0,2716.0,85.71,40.14,72.81,37.93,58.09,29.25,26.06,0.5,0.0
1.0,3.0,9.0,4.0,370.5,53.32,2160.0,1562.5,597.5,21.0,48.5,448.0,217.0,231.0,2.5,19.5,317.0,366.0,32.5,1496.0,497751.0,61.0,36.21,26.56,61.64,45.83,5.32,52.0,2595.5,2219.5,2957.5,71.46,31.28,69.23,34.65,50.9,36.69,21.76,2.0,1.0,417.0,50.94,2337.0,1781.5,555.5,20.5,45.5,687.5,417.0,270.5,5.0,19.5,312.0,231.0,40.5,1533.5,502210.0,49.1,37.0,20.86,53.45,43.61,6.37,32.5,2445.5,2205.5,2722.5,73.63,34.18,55.74,47.84,38.87,38.1,28.95,1.0,2.0
3.0,9.0,5.0,2.0,392.5,54.495000000000005,2227.0,1748.0,479.0,20.5,42.0,553.5,405.0,148.5,4.5,12.5,340.5,234.5,15.5,1487.5,488919.5,55.82,41.22,17.6,61.76,43.05,6.24,40.0,2744.0,2216.0,3221.0,79.91,27.11,62.84,39.21,47.78,28.22,25.49,0.0,0.0,397.5,50.715,2244.5,1663.5,581.0,20.5,51.0,416.5,241.0,175.5,3.0,15.5,326.5,390.5,59.5,1454.0,477838.0,50.2,39.57,13.01,59.62,38.07,3.94,72.0,2656.5,2624.0,2708.5,75.41,24.6,69.97,35.28,53.72,34.46,18.84,0.0,0.0
2.0,7.0,3.0,0.0,383.0,57.18,2072.0,1588.5,483.5,20.5,44.5,397.5,196.5,201.0,2.5,17.0,159.0,444.0,53.0,1544.5,481096.5,44.69,45.1,21.41,57.08,48.65,7.08,43.0,2618.0,2427.0,2785.0,71.93,28.24,51.64,52.76,35.69,34.24,32.34,1.0,1.5,393.5,56.04,2241.5,1490.0,751.5,19.5,68.5,451.5,238.5,213.0,3.5,19.5,308.5,482.5,116.5,1429.0,445974.5,55.78,39.8,19.53,61.67,37.71,4.78,68.5,2374.5,2314.0,2465.5,73.43,31.35,74.2,26.16,63.09,24.93,16.12,1.5,1.0
0.0,1.0,10.0,3.0,429.0,48.985,2097.0,1330.5,766.5,16.0,62.0,338.0,158.0,180.0,2.0,16.0,374.5,261.0,44.5,1572.5,448238.5,42.83,43.66,19.95,54.91,42.82,3.47,43.5,2395.5,2208.5,2532.5,65.68,38.98,72.5,33.11,55.63,29.96,20.68,0.5,1.5,509.0,47.67,2520.5,1944.0,576.5,23.5,51.5,558.5,324.0,234.5,4.0,20.5,584.0,418.0,75.5,1616.0,468623.0,41.39,42.57,21.27,53.42,42.86,7.43,53.5,2438.5,2527.0,2330.0,79.07,24.1,53.39,52.1,37.73,37.36,31.41,1.5,0.5
4.0,7.0,1.0,0.0,379.5,51.24,864.5,655.0,209.5,7.5,19.0,357.0,298.5,58.5,3.0,5.5,51.5,50.5,7.0,1508.0,184292.0,51.84,38.01,18.33,65.99,39.68,11.88,13.5,2555.0,2270.0,2803.5,82.7,19.69,53.1,48.31,37.23,35.59,33.39,0.0,0.0,329.0,50.105,735.5,630.5,105.0,7.5,9.5,100.0,94.0,6.0,1.5,0.5,46.0,126.0,55.5,1509.0,182958.5,52.76,39.06,14.53,50.74,45.63,13.46,14.0,2204.0,2155.0,2195.0,77.58,34.21,79.02,27.65,60.71,38.36,11.6,0.0,0.0
9.0,14.0,6.0,3.0,395.0,49.745,2887.0,1942.5,944.5,23.5,84.5,730.5,346.5,384.0,4.5,36.0,522.0,383.5,121.5,1557.0,566160.5,47.81,41.97,18.01,68.69,37.21,6.9,66.5,2556.5,2518.5,2619.0,79.11,23.02,58.36,44.1,40.07,32.51,29.25,2.5,0.5,358.5,46.855,2344.0,1790.5,553.5,21.5,48.5,484.0,369.0,115.0,4.0,11.0,274.0,362.0,30.0,1470.5,483298.5,64.85,37.06,16.42,59.41,42.63,6.47,83.0,2652.0,2409.0,2772.5,66.74,36.64,74.84,27.52,61.3,24.65,18.81,0.5,2.5
2.0,9.0,11.0,7.0,383.5,51.05,2406.5,1827.0,579.5,23.0,52.0,352.0,173.0,179.0,2.5,16.0,357.5,433.5,85.0,1599.5,549883.0,49.65,41.55,21.1,61.02,44.43,4.85,63.0,2579.5,2505.5,2636.0,70.09,30.16,71.21,31.09,52.11,30.32,18.94,0.5,0.5,396.0,49.945,2578.5,1962.5,616.0,23.5,54.5,645.0,411.5,233.5,4.5,20.5,295.0,313.5,39.0,1470.0,515026.5,53.63,35.99,13.94,62.21,36.88,4.82,73.0,2378.5,2102.5,2694.5,75.54,25.9,61.47,41.61,43.28,38.55,27.23,0.5,0.5
3.0,8.0,7.0,1.0,400.5,54.525000000000006,2366.5,1754.5,612.0,23.5,55.0,341.0,176.0,165.0,3.5,14.5,245.5,534.5,123.0,1602.5,512382.5,47.16,42.93,22.49,60.3,40.74,5.2,59.0,2538.5,2362.0,2693.0,74.4,30.93,66.34,38.36,47.98,33.87,22.97,0.5,2.5,397.0,54.91,2342.5,1744.5,598.0,22.5,53.5,673.0,447.5,225.5,5.5,21.0,384.5,497.0,114.5,1541.5,501494.0,46.52,44.17,17.79,55.89,41.28,6.06,41.5,2220.5,2073.0,2388.0,72.19,32.18,57.21,44.66,41.22,37.02,27.31,2.5,0.5
3.0,8.0,9.0,4.0,394.5,48.91,2274.0,1737.5,536.5,21.5,48.5,533.0,335.0,198.0,4.0,17.0,408.5,401.5,52.5,1554.0,533898.0,51.56,41.71,18.63,55.9,41.26,5.32,59.0,2464.5,2234.5,2698.5,72.84,27.67,54.44,47.67,37.6,38.69,28.64,1.5,1.5,469.5,53.03,2962.5,2262.0,700.5,26.0,61.0,409.5,261.5,148.0,3.0,13.0,526.0,361.5,41.5,1586.0,545292.5,45.22,41.51,24.7,62.52,40.26,2.65,98.5,2622.5,2674.5,2590.0,73.85,26.29,75.64,26.59,57.49,34.45,14.13,1.5,1.5
5.0,10.0,3.0,2.0,433.0,51.54,1845.5,1486.0,359.5,18.5,32.0,450.5,295.0,155.5,3.5,13.5,191.0,251.5,27.5,1564.5,370982.5,52.28,42.95,19.77,60.57,42.39,9.35,40.5,2557.5,2457.0,2630.5,76.13,23.95,53.84,50.39,38.14,43.67,30.57,1.5,0.0,354.5,49.025,1459.5,1081.0,378.5,12.5,30.5,315.5,237.5,78.0,2.5,7.5,230.0,190.0,17.0,1423.5,328421.0,57.94,37.37,11.24,66.02,36.83,5.96,39.0,2830.0,2583.5,3016.5,69.27,35.39,78.88,27.35,59.86,28.94,17.04,0.0,1.5
2.0,8.0,9.0,3.0,383.0,51.53,2297.0,1826.5,470.5,24.0,43.0,612.5,373.5,239.0,4.5,21.0,242.0,517.0,88.0,1544.5,503839.5,54.75,39.97,24.66,56.8,42.42,4.71,49.0,2697.5,2473.5,2947.0,74.65,30.9,55.44,47.24,41.68,32.29,30.46,1.5,0.5,378.0,51.185,2264.5,1846.5,418.0,21.5,38.5,292.5,200.0,92.5,2.0,8.0,261.0,327.5,0.0,1412.0,457028.0,56.56,37.24,13.96,63.96,39.47,6.35,59.5,2299.0,2236.5,2285.5,79.24,28.96,72.62,30.19,55.98,29.76,16.39,0.5,1.5
2.0,5.0,10.0,3.0,400.0,50.345,2862.5,2275.5,587.0,28.0,53.0,715.0,481.5,233.5,6.0,21.5,304.5,318.0,117.5,1518.5,596787.0,48.82,44.63,20.06,55.96,42.36,6.43,63.0,2488.5,2214.5,2736.5,76.59,29.58,64.4,38.92,50.62,28.93,25.97,0.0,4.0,364.5,53.725,2645.0,2015.5,629.5,26.0,53.0,526.0,243.0,283.0,4.0,21.5,321.5,611.0,166.0,1493.5,602986.0,47.71,48.6,8.97,61.45,38.35,6.04,40.0,2526.5,2399.5,2648.0,74.01,30.63,66.66,38.26,50.44,29.41,23.46,4.0,0.0
2.0,12.0,7.0,3.0,419.5,55.11,2428.5,2035.0,393.5,26.0,38.0,574.5,411.5,163.0,5.0,15.0,397.0,551.0,92.0,1541.5,502737.5,52.07,42.96,19.26,67.57,40.71,2.84,55.0,2465.5,2310.0,2649.0,76.08,28.52,57.98,44.45,41.59,36.24,32.14,1.0,1.5,360.0,43.925,1983.0,1393.0,590.0,16.5,52.0,399.5,272.0,127.5,3.0,11.5,127.0,266.5,27.5,1403.0,459803.5,55.44,37.12,13.31,59.96,39.71,2.25,47.0,2557.0,2486.5,2623.5,79.54,25.98,72.76,27.95,58.85,26.28,17.12,1.5,1.0
1.0,5.0,6.0,2.0,428.0,54.02,2671.5,2230.0,441.5,27.5,39.0,714.0,542.5,171.5,6.0,15.5,373.0,433.0,64.0,1589.5,559331.0,45.72,45.5,22.05,58.23,49.42,6.09,56.5,2366.0,2240.0,2452.5,66.78,36.56,59.18,42.65,44.53,28.4,27.67,0.0,0.5,433.0,45.15,2546.0,1967.5,578.5,22.5,52.0,633.0,438.5,194.5,5.0,17.5,410.0,283.5,60.5,1586.0,561868.0,42.28,42.42,23.27,56.19,51.35,3.75,101.0,2540.0,2239.5,2799.0,73.03,33.34,63.63,41.89,47.55,30.51,27.22,0.5,0.0
3.0,11.0,4.0,1.0,429.0,52.855,1855.5,1414.5,441.0,18.0,35.5,308.0,117.5,190.5,1.5,12.0,222.0,261.5,38.0,1559.0,401697.5,42.91,49.54,21.99,61.04,47.33,4.18,35.5,2640.5,2302.5,2964.0,76.34,36.21,62.94,46.49,48.24,38.78,27.33,1.0,0.5,407.0,49.47,1734.5,1326.0,408.5,17.0,37.0,372.0,215.0,157.0,2.5,14.0,255.5,381.0,36.0,1576.5,399852.0,46.27,42.96,17.11,55.78,42.32,4.56,31.5,2617.0,2388.0,2805.5,74.72,28.5,66.01,37.22,49.1,32.99,21.67,0.5,1.0
2.0,6.0,11.0,3.0,415.5,51.35,2418.5,1790.5,628.0,22.5,52.5,545.0,355.5,189.5,4.5,17.0,296.0,337.5,100.5,1564.0,511597.5,49.99,43.97,21.04,60.19,46.11,3.72,51.0,2492.0,2358.0,2645.5,75.38,31.35,64.32,38.43,46.31,34.99,24.09,1.5,0.5,426.0,49.885,2298.0,1647.0,651.0,20.0,55.5,468.0,285.5,182.5,3.5,17.0,510.5,369.5,67.5,1541.5,499323.5,45.31,40.83,15.53,62.15,34.12,5.08,34.0,2404.0,2248.0,2520.0,79.17,31.72,69.42,40.16,54.49,29.3,25.95,0.5,1.5
3.0,10.0,6.0,4.0,441.5,49.765,2619.0,2061.5,557.5,24.5,50.5,695.0,492.5,202.5,6.5,19.0,387.5,281.0,130.0,1597.5,549067.0,49.82,41.6,27.63,58.65,49.33,3.5,45.5,2443.0,2121.5,2757.5,71.73,30.65,57.42,43.67,40.01,37.28,24.73,0.5,0.0,385.0,49.72,2360.0,1693.0,667.0,20.5,59.0,199.5,75.5,124.0,1.0,11.0,431.0,376.0,27.5,1547.0,529484.0,50.6,43.27,16.3,65.9,39.48,3.17,73.5,2722.0,2621.0,2817.5,76.61,27.47,72.71,29.64,54.82,32.98,14.75,0.0,0.5
